time,activity,status
11-30 09:29:16.820,UNKNOWN,ENTER
11-30 09:34:53.903,UNKNOWN,EXIT
11-30 09:34:53.915,WALKING,ENTER
11-30 09:35:08.530,WALKING,EXIT
11-30 09:35:08.549,STILL,ENTER
11-30 09:40:13.038,STILL,EXIT
11-30 09:40:13.058,UNKNOWN,ENTER
11-30 09:40:49.693,UNKNOWN,EXIT
11-30 09:40:49.720,STILL,ENTER
11-30 09:41:25.529,STILL,EXIT
11-30 09:41:25.548,WALKING,ENTER
11-30 09:48:28.761,WALKING,EXIT
11-30 09:48:28.775,UNKNOWN,ENTER
11-30 09:49:11.790,UNKNOWN,EXIT
11-30 09:49:11.800,STILL,ENTER
11-30 09:50:49.279,STILL,EXIT
11-30 09:50:49.287,UNKNOWN,ENTER
11-30 09:54:31.575,UNKNOWN,EXIT
11-30 09:54:31.587,WALKING,ENTER
11-30 10:04:21.069,WALKING,EXIT
11-30 10:04:21.095,STILL,ENTER
11-30 11:47:10.820,STILL,EXIT
11-30 11:47:10.836,WALKING,ENTER
11-30 11:48:03.674,WALKING,EXIT
11-30 11:48:03.686,STILL,ENTER
11-30 11:50:33.887,STILL,EXIT
11-30 11:50:33.902,WALKING,ENTER
11-30 12:02:06.593,WALKING,EXIT
11-30 12:02:06.604,STILL,ENTER
11-30 12:02:58.186,STILL,EXIT
11-30 12:02:58.220,WALKING,ENTER
11-30 12:05:49.457,WALKING,EXIT
11-30 12:05:49.467,STILL,ENTER
11-30 12:07:26.632,STILL,EXIT
11-30 12:07:26.642,WALKING,ENTER
11-30 12:08:39.896,WALKING,EXIT
11-30 12:08:39.915,STILL,ENTER
11-30 12:09:05.527,STILL,EXIT
11-30 12:09:05.545,WALKING,ENTER
11-30 12:12:17.650,WALKING,EXIT
11-30 12:12:17.674,STILL,ENTER
11-30 12:12:36.034,STILL,EXIT
11-30 12:12:36.046,WALKING,ENTER
11-30 12:14:05.096,WALKING,EXIT
11-30 12:14:05.136,STILL,ENTER
11-30 12:58:26.740,STILL,EXIT
11-30 12:58:26.766,WALKING,ENTER
11-30 12:59:49.910,WALKING,EXIT
11-30 12:59:49.919,STILL,ENTER
11-30 13:02:21.586,STILL,EXIT
11-30 13:02:21.597,WALKING,ENTER
11-30 13:02:52.136,WALKING,EXIT
11-30 13:02:52.152,STILL,ENTER
11-30 13:03:17.295,STILL,EXIT
11-30 13:03:17.305,WALKING,ENTER
11-30 13:13:49.587,WALKING,EXIT
11-30 13:13:49.612,STILL,ENTER
11-30 13:15:26.087,STILL,EXIT
11-30 13:15:26.118,WALKING,ENTER
11-30 13:17:02.435,WALKING,EXIT
11-30 13:17:02.446,STILL,ENTER
11-30 13:19:16.225,STILL,EXIT
11-30 13:19:16.242,WALKING,ENTER
11-30 13:21:43.428,WALKING,EXIT
11-30 13:21:43.447,STILL,ENTER
11-30 13:31:53.905,STILL,EXIT
11-30 13:31:53.939,WALKING,ENTER
11-30 13:33:46.045,WALKING,EXIT
11-30 13:33:46.065,STILL,ENTER
11-30 13:34:42.107,STILL,EXIT
11-30 13:34:42.116,WALKING,ENTER
11-30 13:35:26.131,WALKING,EXIT
11-30 13:35:26.140,STILL,ENTER
11-30 14:14:59.923,STILL,EXIT
11-30 14:14:59.933,WALKING,ENTER
11-30 14:15:25.465,WALKING,EXIT
11-30 14:15:25.484,STILL,ENTER
11-30 14:17:34.698,STILL,EXIT
11-30 14:17:34.726,WALKING,ENTER
11-30 14:18:21.649,WALKING,EXIT
11-30 14:18:21.710,STILL,ENTER
11-30 15:50:49.247,STILL,EXIT
11-30 15:50:49.273,WALKING,ENTER
11-30 15:51:32.611,WALKING,EXIT
11-30 15:51:32.624,STILL,ENTER
11-30 15:53:37.580,STILL,EXIT
11-30 15:53:37.604,WALKING,ENTER
11-30 15:54:14.251,WALKING,EXIT
11-30 15:54:14.260,STILL,ENTER
11-30 15:54:58.095,STILL,EXIT
11-30 15:54:58.110,WALKING,ENTER
11-30 15:55:42.064,WALKING,EXIT
11-30 15:55:42.098,UNKNOWN,ENTER
11-30 15:56:00.337,UNKNOWN,EXIT
11-30 15:56:00.351,WALKING,ENTER
11-30 16:01:26.904,WALKING,EXIT
11-30 16:01:26.920,STILL,ENTER
11-30 16:08:08.393,STILL,EXIT
11-30 16:08:08.409,WALKING,ENTER
