time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,activity,nextAP,handoverOccured,max_ss,max_rsrp,max_rsrq,diff_in_ss,diff_in_rsrp,diff_in_rsrq
11-21 15:00:31.800,YES,137464339487470,234,34624,9820,310410,19,-107,-13,STILL,234.0,0,26,-83,-14,-7,-24,1
11-21 15:00:43.723,YES,137465054772229,234,34624,9820,310410,17,-109,-12,STILL,234.0,0,26,-83,-13,-9,-26,1
11-21 15:00:49.759,YES,137465497763627,234,34624,9820,310410,18,-108,-13,STILL,38.0,1,31,0,0,-13,-108,-13
11-21 15:06:01.373,YES,137599539003074,38,34624,850,310410,31,-81,-9,UNKNOWN,38.0,0,26,-79,-8,5,-2,-1
11-21 15:06:02.939,YES,137601903708362,38,34624,850,310410,31,-82,-9,UNKNOWN,38.0,0,26,-79,-8,5,-3,-1
11-21 15:06:04.952,YES,137604025077792,38,34624,850,310410,31,-81,-9,UNKNOWN,38.0,0,26,-79,-8,5,-2,-1
11-21 15:06:07.452,YES,137606527121843,38,34624,850,310410,31,-79,-9,UNKNOWN,38.0,0,26,-79,-8,5,0,-1
11-21 15:06:09.515,YES,137608589792257,38,34624,850,310410,31,-80,-9,UNKNOWN,38.0,0,26,-79,-8,5,-1,-1
11-21 15:06:11.952,YES,137610900826706,38,34624,850,310410,31,-79,-7,UNKNOWN,38.0,0,26,-79,-8,5,0,1
11-21 15:06:13.961,YES,137613034084939,38,34624,850,310410,29,-84,-8,UNKNOWN,38.0,0,26,-79,-8,3,-5,0
11-21 15:06:16.467,YES,137615538503470,38,34624,850,310410,31,-76,-8,UNKNOWN,38.0,0,26,-79,-8,5,3,0
11-21 15:06:18.953,YES,137617904369852,38,34624,850,310410,30,-81,-7,UNKNOWN,38.0,0,26,-79,-8,4,-2,1
11-21 15:06:20.974,YES,137620044994284,38,34624,850,310410,31,-77,-10,UNKNOWN,38.0,0,28,-79,-8,3,2,-2
11-21 15:06:23.468,YES,137622541823126,38,34624,850,310410,29,-86,-10,UNKNOWN,38.0,0,26,-79,-8,3,-7,-2
11-21 15:06:25.967,YES,137624787768610,38,34624,850,310410,30,-86,-12,UNKNOWN,38.0,0,26,-79,-8,4,-7,-4
11-21 15:06:27.974,YES,137626944071638,38,34624,850,310410,29,-88,-11,UNKNOWN,38.0,0,26,-79,-8,3,-9,-3
11-21 15:06:29.992,YES,137629056463567,38,34624,850,310410,31,-88,-15,UNKNOWN,38.0,0,26,-79,-8,5,-9,-7
11-21 15:06:32.518,YES,137631576701474,38,34624,850,310410,29,-88,-12,UNKNOWN,38.0,0,26,-79,-8,3,-9,-4
11-21 15:06:34.978,YES,137633951325409,38,34624,850,310410,28,-90,-13,UNKNOWN,38.0,0,26,-79,-8,2,-11,-5
11-21 15:06:37.020,YES,137636080770464,38,34624,850,310410,27,-97,-16,UNKNOWN,38.0,0,26,-79,-8,1,-18,-8
11-21 15:06:39.530,YES,137638577262640,38,34624,850,310410,25,-103,-20,UNKNOWN,38.0,0,31,0,0,-6,-103,-20
11-21 15:06:41.998,YES,137640947664803,38,34624,850,310410,26,-105,-20,UNKNOWN,38.0,0,31,0,0,-5,-105,-20
11-21 15:06:44.034,YES,137643094331996,38,34624,850,310410,26,-107,-20,UNKNOWN,275.0,1,18,-101,-12,8,-6,-8
11-21 15:06:46.491,YES,137645566188909,275,34624,850,310410,27,-96,-17,UNKNOWN,275.0,0,19,-97,-13,8,1,-4
11-21 15:06:48.996,YES,137647936370239,275,34624,850,310410,26,-98,-13,UNKNOWN,275.0,0,20,-95,-12,6,-3,-1
11-21 15:06:51.001,YES,137650072043577,275,34624,850,310410,26,-98,-15,UNKNOWN,275.0,0,18,-100,-13,8,2,-2
11-21 15:06:53.513,YES,137652575943566,275,34624,850,310410,26,-98,-15,UNKNOWN,275.0,0,20,-98,-13,6,0,-2
11-21 15:06:55.983,YES,137654905442704,275,34624,850,310410,29,-93,-17,UNKNOWN,275.0,0,21,-94,-13,8,1,-4
11-21 15:06:57.985,YES,137656921181238,275,34624,850,310410,28,-93,-14,UNKNOWN,275.0,0,21,-96,-13,7,3,-1
11-21 15:07:00.057,YES,137659101462758,275,34624,850,310410,29,-93,-16,UNKNOWN,275.0,0,21,-96,-13,8,3,-3
11-21 15:07:02.500,YES,137661574941702,275,34624,850,310410,27,-95,-16,UNKNOWN,275.0,0,21,-98,-13,6,3,-3
11-21 15:07:04.545,YES,137663604533623,275,34624,850,310410,29,-94,-17,UNKNOWN,275.0,0,20,-94,-12,9,0,-5
11-21 15:07:07.000,YES,137665900970414,275,34624,850,310410,28,-95,-17,UNKNOWN,275.0,0,21,-97,-13,7,2,-4
11-21 15:07:09.011,YES,137668084873288,275,34624,850,310410,27,-95,-16,UNKNOWN,275.0,0,20,-101,-13,7,6,-3
11-21 15:07:11.515,YES,137670233472721,275,34624,850,310410,30,-92,-17,UNKNOWN,275.0,0,22,-96,-13,8,4,-4
11-21 15:07:13.554,YES,137672611292229,275,34624,850,310410,29,-91,-15,UNKNOWN,275.0,0,22,-95,-12,7,4,-3
11-21 15:07:16.027,YES,137674938292721,275,34624,850,310410,30,-92,-15,UNKNOWN,275.0,0,23,-92,-13,7,0,-2
11-21 15:07:18.062,YES,137677115159083,275,34624,850,310410,30,-90,-14,UNKNOWN,275.0,0,24,-88,-13,6,-2,-1
11-21 15:07:20.567,YES,137679626115219,275,34624,850,310410,30,-89,-15,UNKNOWN,275.0,0,22,-91,-12,8,2,-3
11-21 15:07:23.010,YES,137681902866071,275,34624,850,310410,30,-89,-15,UNKNOWN,275.0,0,23,-91,-13,7,2,-2
11-21 15:07:25.027,YES,137684100436706,275,34624,850,310410,31,-89,-17,UNKNOWN,275.0,0,23,-93,-13,8,4,-4
