time,activity,status
11-06 17:03:52.391,STILL,EXIT
11-06 17:03:52.407,UNKNOWN,ENTER
11-06 17:05:02.425,UNKNOWN,ENTER
11-06 17:05:03.270,UNKNOWN,ENTER
11-06 17:05:04.213,UNKNOWN,ENTER
11-06 17:05:05.878,UNKNOWN,ENTER
11-06 17:10:47.137,UNKNOWN,ENTER
11-06 17:10:53.402,UNKNOWN,ENTER
11-06 17:10:53.424,UNKNOWN,ENTER
11-06 17:11:31.893,UNKNOWN,EXIT
11-06 17:11:31.907,WALKING,ENTER
11-06 17:11:31.923,UNKNOWN,EXIT
11-06 17:11:31.931,WALKING,ENTER
11-06 17:12:37.221,WALKING,EXIT
11-06 17:12:37.232,STILL,ENTER
11-06 17:12:37.249,WALKING,EXIT
11-06 17:12:37.257,STILL,ENTER
11-06 17:13:02.452,STILL,EXIT
11-06 17:13:02.465,WALKING,ENTER
11-06 17:13:02.480,STILL,EXIT
11-06 17:13:02.489,WALKING,ENTER
11-06 17:14:37.886,WALKING,EXIT
11-06 17:14:37.899,UNKNOWN,ENTER
11-06 17:14:37.915,WALKING,EXIT
11-06 17:14:37.922,UNKNOWN,ENTER
11-06 17:15:18.322,UNKNOWN,EXIT
11-06 17:15:18.342,WALKING,ENTER
11-06 17:15:18.359,UNKNOWN,EXIT
11-06 17:15:18.366,WALKING,ENTER
11-06 17:15:36.564,WALKING,EXIT
11-06 17:15:36.588,UNKNOWN,ENTER
11-06 17:15:36.608,WALKING,EXIT
11-06 17:15:36.617,UNKNOWN,ENTER
11-06 17:15:54.965,UNKNOWN,EXIT
11-06 17:15:54.977,WALKING,ENTER
11-06 17:15:54.996,UNKNOWN,EXIT
11-06 17:15:55.004,WALKING,ENTER
11-06 17:18:29.519,WALKING,EXIT
11-06 17:18:29.537,STILL,ENTER
11-06 17:18:29.552,WALKING,EXIT
11-06 17:18:29.560,STILL,ENTER
11-06 17:18:47.978,STILL,EXIT
11-06 17:18:47.990,WALKING,ENTER
11-06 17:18:48.015,STILL,EXIT
11-06 17:18:48.023,WALKING,ENTER
11-06 17:19:13.732,WALKING,EXIT
11-06 17:19:13.747,UNKNOWN,ENTER
11-06 17:19:13.767,WALKING,EXIT
11-06 17:19:13.778,UNKNOWN,ENTER
11-06 17:19:32.004,UNKNOWN,EXIT
11-06 17:19:32.013,WALKING,ENTER
11-06 17:19:32.026,UNKNOWN,EXIT
11-06 17:19:32.034,WALKING,ENTER
11-06 17:21:23.649,WALKING,EXIT
11-06 17:21:23.667,UNKNOWN,ENTER
11-06 17:21:23.681,WALKING,EXIT
11-06 17:21:23.691,UNKNOWN,ENTER
11-06 17:24:41.368,UNKNOWN,EXIT
11-06 17:24:41.390,WALKING,ENTER
11-06 17:24:41.406,UNKNOWN,EXIT
11-06 17:24:41.417,WALKING,ENTER
11-06 17:25:40.354,WALKING,EXIT
11-06 17:25:40.385,STILL,ENTER
11-06 17:25:40.400,WALKING,EXIT
11-06 17:25:40.411,STILL,ENTER
11-06 17:25:58.605,STILL,EXIT
11-06 17:25:58.623,WALKING,ENTER
11-06 17:25:58.642,STILL,EXIT
11-06 17:25:58.652,WALKING,ENTER
11-06 17:35:58.777,WALKING,EXIT
11-06 17:35:58.819,STILL,ENTER
11-06 17:35:58.834,WALKING,EXIT
11-06 17:35:58.848,STILL,ENTER
11-06 17:36:57.118,STILL,EXIT
11-06 17:36:57.133,WALKING,ENTER
11-06 17:36:57.155,STILL,EXIT
11-06 17:36:57.164,WALKING,ENTER
11-06 17:38:43.436,WALKING,EXIT
11-06 17:38:43.454,STILL,ENTER
11-06 17:38:43.471,WALKING,EXIT
11-06 17:38:43.480,STILL,ENTER
11-06 17:39:01.420,STILL,EXIT
11-06 17:39:01.443,WALKING,ENTER
11-06 17:39:01.462,STILL,EXIT
11-06 17:39:01.480,WALKING,ENTER
11-06 17:39:16.001,WALKING,EXIT
11-06 17:39:16.054,STILL,ENTER
11-06 17:39:16.077,WALKING,EXIT
11-06 17:39:16.089,STILL,ENTER
11-06 17:39:54.484,STILL,EXIT
11-06 17:39:54.505,WALKING,ENTER
11-06 17:39:54.523,STILL,EXIT
11-06 17:39:54.555,WALKING,ENTER
11-06 17:42:02.445,WALKING,EXIT
11-06 17:42:02.472,STILL,ENTER
11-06 17:42:02.488,WALKING,EXIT
11-06 17:42:02.495,STILL,ENTER
11-06 18:07:21.781,STILL,EXIT
11-06 18:07:21.818,WALKING,ENTER
11-06 18:07:21.846,STILL,EXIT
11-06 18:07:21.855,WALKING,ENTER
11-06 18:07:42.993,WALKING,EXIT
11-06 18:07:43.004,STILL,ENTER
11-06 18:07:43.018,WALKING,EXIT
11-06 18:07:43.026,STILL,ENTER
11-06 18:08:08.914,STILL,EXIT
11-06 18:08:08.930,WALKING,ENTER
11-06 18:08:08.949,STILL,EXIT
11-06 18:08:08.959,WALKING,ENTER
11-06 18:08:37.886,WALKING,EXIT
11-06 18:08:37.906,STILL,ENTER
11-06 18:08:37.922,WALKING,EXIT
11-06 18:08:37.932,STILL,ENTER
