time, mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
11-07 18:29:01.700,24259973004406,495,16169,675,310260,30,-82,-9,2147483647,2147483647,2147483647
11-07 18:29:01.718,24259973004406,495,16169,675,310260,30,-82,-9,2147483647,2147483647,2147483647
11-07 18:29:02.205,24259973004406,495,16169,675,310260,30,-82,-9,2147483647,2147483647,2147483647
11-07 18:29:02.235,24259973004406,495,16169,675,310260,30,-82,-9,2147483647,2147483647,2147483647
11-07 18:29:02.719,24259973004406,495,16169,675,310260,30,-82,-9,2147483647,2147483647,2147483647
11-07 18:29:02.765,24259973004406,495,16169,675,310260,30,-82,-9,2147483647,2147483647,2147483647
11-07 18:29:03.257,24262474752884,495,16169,675,310260,28,-83,-7,2147483647,2147483647,2147483647
11-07 18:29:03.264,24262474752884,495,16169,675,310260,28,-83,-7,2147483647,2147483647,2147483647
11-07 18:29:03.717,24262474752884,495,16169,675,310260,28,-83,-7,2147483647,2147483647,2147483647
11-07 18:29:03.744,24262474752884,495,16169,675,310260,28,-83,-7,2147483647,2147483647,2147483647
11-07 18:29:04.208,24262474752884,495,16169,675,310260,28,-83,-7,2147483647,2147483647,2147483647
11-07 18:29:04.222,24262474752884,495,16169,675,310260,28,-83,-7,2147483647,2147483647,2147483647
11-07 18:29:04.702,24262474752884,495,16169,675,310260,28,-83,-7,2147483647,2147483647,2147483647
11-07 18:29:04.707,24262474752884,495,16169,675,310260,28,-83,-7,2147483647,2147483647,2147483647
11-07 18:29:05.215,24262474752884,495,16169,675,310260,28,-83,-7,2147483647,2147483647,2147483647
11-07 18:29:05.254,24262474752884,495,16169,675,310260,28,-83,-7,2147483647,2147483647,2147483647
11-07 18:29:05.750,24264971470321,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:05.758,24264971470321,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:06.221,24264971470321,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:06.266,24264971470321,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:06.715,24264971470321,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:06.732,24264971470321,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:07.210,24264971470321,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:07.217,24264971470321,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:07.731,24264971470321,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:07.771,24264971470321,495,16169,675,310260,31,-79,-9,2147483647,2147483647,2147483647
11-07 18:29:08.245,24267472238799,495,16169,675,310260,29,-81,-7,2147483647,2147483647,2147483647
11-07 18:29:08.259,24267472238799,495,16169,675,310260,29,-81,-7,2147483647,2147483647,2147483647
11-07 18:29:08.735,24267472238799,495,16169,675,310260,29,-81,-7,2147483647,2147483647,2147483647
11-07 18:29:08.772,24267472238799,495,16169,675,310260,29,-81,-7,2147483647,2147483647,2147483647
11-07 18:29:09.190,24267472238799,495,16169,675,310260,29,-81,-7,2147483647,2147483647,2147483647
11-07 18:29:09.191,24267472238799,495,16169,675,310260,29,-81,-7,2147483647,2147483647,2147483647
11-07 18:29:09.716,24267472238799,495,16169,675,310260,29,-81,-7,2147483647,2147483647,2147483647
11-07 18:29:09.723,24267472238799,495,16169,675,310260,29,-81,-7,2147483647,2147483647,2147483647
11-07 18:29:10.224,24267472238799,495,16169,675,310260,29,-81,-7,2147483647,2147483647,2147483647
11-07 18:29:10.251,24267472238799,495,16169,675,310260,29,-81,-7,2147483647,2147483647,2147483647
11-07 18:29:10.765,24269985861549,495,16169,675,310260,31,-83,-12,2147483647,2147483647,2147483647
11-07 18:29:10.772,24269985861549,495,16169,675,310260,31,-83,-12,2147483647,2147483647,2147483647
11-07 18:29:11.222,24269985861549,495,16169,675,310260,31,-83,-12,2147483647,2147483647,2147483647
11-07 18:29:11.259,24269985861549,495,16169,675,310260,31,-83,-12,2147483647,2147483647,2147483647
11-07 18:29:11.715,24269985861549,495,16169,675,310260,31,-83,-12,2147483647,2147483647,2147483647
