time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,activity,nextAP,handoverOccured,max_ss,max_rsrp,max_rsrq,diff_in_ss,diff_in_rsrp,diff_in_rsrq
11-20 17:35:34.741,YES,105830549584752,422,34624,850,310410,31,-77,-10,NOVALUE,422.0,0,31,-73,-10,0,-4,0
11-20 17:35:36.754,YES,105833058027762,422,34624,850,310410,31,-77,-13,NOVALUE,422.0,0,31,-73,-10,0,-4,-3
11-20 17:35:39.273,YES,105835131426562,422,34624,850,310410,31,-77,-11,NOVALUE,422.0,0,31,-73,-10,0,-4,-1
11-20 17:35:41.263,YES,105837183687861,422,34624,850,310410,31,-77,-13,NOVALUE,422.0,0,31,-73,-10,0,-4,-3
11-20 17:35:43.339,YES,105839608134456,422,34624,850,310410,31,-77,-15,NOVALUE,422.0,0,31,-73,-10,0,-4,-5
11-20 17:35:45.789,YES,105842092296996,422,34624,850,310410,31,-77,-8,NOVALUE,422.0,0,31,-73,-8,0,-4,0
11-20 17:35:48.278,YES,105844126943969,422,34624,850,310410,31,-77,-11,NOVALUE,422.0,0,31,-73,-10,0,-4,-1
11-20 17:35:50.282,YES,105846174617350,422,34624,850,310410,31,-81,-12,NOVALUE,422.0,0,31,-73,-10,0,-8,-2
11-20 17:35:52.293,YES,105848597035300,422,34624,850,310410,31,-80,-11,NOVALUE,422.0,0,31,-73,-10,0,-7,-1
11-20 17:35:54.796,YES,105851099945185,422,34624,850,310410,31,-79,-8,NOVALUE,422.0,0,31,-73,-10,0,-6,2
11-20 17:35:57.293,YES,105853131547731,422,34624,850,310410,31,-78,-16,NOVALUE,422.0,0,31,-73,-10,0,-5,-6
11-20 17:35:59.301,YES,105855604150269,422,34624,850,310410,31,-80,-9,NOVALUE,422.0,0,31,-73,-10,0,-7,1
11-20 17:36:01.804,YES,105858107211664,422,34624,850,310410,31,-79,-11,NOVALUE,422.0,0,31,-73,-10,0,-6,-1
11-20 17:36:04.296,YES,105860125125875,422,34624,850,310410,30,-84,-8,NOVALUE,422.0,0,31,-73,-8,-1,-11,0
11-20 17:36:06.302,YES,105862136440190,422,34624,850,310410,31,-79,-14,NOVALUE,422.0,0,31,-73,-10,0,-6,-4
