time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,activity,nextAP,handoverOccured,max_ss,max_rsrp,max_rsrq,diff_in_ss,diff_in_rsrp,diff_in_rsrq
11-07 16:52:51.012,YES,22841626089569,116,16185,2300,310260,20,-103,-8,STILL,116.0,0,12,-116,-16,8,13,8
11-07 16:52:53.123,YES,22843741769624,116,16185,2300,310260,17,-108,-9,STILL,116.0,0,11,-117,-16,6,9,7
11-07 16:52:55.621,YES,22846239216799,116,16185,2300,310260,20,-103,-7,STILL,116.0,0,13,-115,-16,7,12,9
11-07 16:52:58.111,YES,22848459999104,116,16185,2300,310260,22,-104,-14,STILL,116.0,0,15,-112,-16,7,8,2
11-07 16:53:00.119,YES,22850739235008,116,16185,2300,310260,19,-105,-8,STILL,116.0,0,14,-116,-18,5,11,10
11-07 16:53:02.617,YES,22853243143487,116,16185,2300,310260,19,-105,-9,STILL,116.0,0,12,-114,-14,7,9,5
11-07 16:53:05.103,YES,22855455318603,116,16185,2300,310260,24,-103,-15,STILL,116.0,0,16,-112,-20,8,9,5
11-07 16:53:07.144,YES,22857663291635,116,16185,2300,310260,19,-105,-8,STILL,116.0,0,11,-115,-15,8,10,7
11-07 16:53:09.125,YES,22859746636687,116,16185,2300,310260,18,-106,-8,STILL,116.0,0,12,-119,-19,6,13,11
11-07 16:53:11.686,YES,22862247577821,116,16185,2300,310260,20,-104,-9,STILL,116.0,0,12,-117,-19,8,13,10
11-07 16:53:14.109,YES,22864462724292,116,16185,2300,310260,18,-104,-7,STILL,116.0,0,14,-113,-17,4,9,10
11-07 16:53:16.124,YES,22866751414572,116,16185,2300,310260,21,-102,-9,STILL,116.0,0,12,-114,-15,9,12,6
11-07 16:53:18.636,YES,22869261175499,116,16185,2300,310260,18,-106,-9,STILL,116.0,0,13,-118,-20,5,12,11
11-07 16:53:21.111,YES,22871475840199,116,16185,2300,310260,19,-104,-8,STILL,116.0,0,12,-117,-19,7,13,11
11-07 16:53:23.131,YES,22873757571884,116,16185,2300,310260,21,-102,-10,STILL,116.0,0,14,-114,-19,7,12,9
11-07 16:53:25.633,YES,22876262945467,116,16185,2300,310260,19,-104,-9,STILL,116.0,0,13,-118,-20,6,14,11
11-07 16:53:27.691,YES,22878288156138,116,16185,2300,310260,19,-104,-8,STILL,116.0,0,11,-118,-16,8,14,8
11-07 16:53:29.727,YES,22880356846292,116,16185,2300,310260,15,-113,-10,STILL,116.0,0,11,-117,-13,4,4,3
11-07 16:53:32.123,YES,22882470387180,116,16185,2300,310260,15,-114,-11,STILL,116.0,0,11,-117,-15,4,3,4
11-07 16:53:34.149,YES,22884767071262,116,16185,2300,310260,15,-115,-11,STILL,116.0,0,11,-117,-16,4,2,5
11-07 16:53:36.636,YES,22887264535001,116,16185,2300,310260,15,-113,-8,STILL,116.0,0,11,-117,-16,4,4,8
11-07 16:53:38.703,YES,22889303157391,116,16185,2300,310260,18,-109,-10,STILL,116.0,0,11,-117,-15,7,8,5
11-07 16:53:41.198,YES,22891806674255,116,16185,2300,310260,18,-107,-10,STILL,116.0,0,12,-117,-16,6,10,6
11-07 16:53:43.708,YES,22894307480911,116,16185,2300,310260,20,-102,-9,STILL,116.0,0,12,-114,-15,8,12,6
