time,activity,status
11-22 12:52:55.276,STILL,EXIT
11-22 12:52:55.289,WALKING,ENTER
11-22 12:53:31.915,WALKING,EXIT
11-22 12:53:31.947,STILL,ENTER
11-22 12:58:41.338,STILL,EXIT
11-22 12:58:41.351,UNKNOWN,ENTER
11-22 12:58:48.565,UNKNOWN,ENTER
11-22 13:00:40.875,UNKNOWN,EXIT
11-22 13:00:40.887,WALKING,ENTER
11-22 13:06:56.722,WALKING,EXIT
11-22 13:06:56.730,STILL,ENTER
11-22 13:08:57.021,STILL,EXIT
11-22 13:08:57.034,WALKING,ENTER
11-22 13:10:08.298,WALKING,EXIT
11-22 13:10:08.324,STILL,ENTER
11-22 13:17:05.651,STILL,EXIT
11-22 13:17:05.662,WALKING,ENTER
11-22 13:17:27.563,WALKING,EXIT
11-22 13:17:27.575,UNKNOWN,ENTER
11-22 13:41:03.809,UNKNOWN,EXIT
11-22 13:41:03.826,WALKING,ENTER
11-22 13:43:56.321,WALKING,EXIT
11-22 13:43:56.329,STILL,ENTER
11-22 13:49:04.082,STILL,EXIT
11-22 13:49:04.106,WALKING,ENTER
11-22 13:49:46.364,WALKING,EXIT
11-22 13:49:46.372,STILL,ENTER
11-22 13:55:00.487,STILL,EXIT
11-22 13:55:00.499,WALKING,ENTER
11-22 13:55:31.794,WALKING,EXIT
11-22 13:55:31.811,STILL,ENTER
11-22 14:05:19.194,STILL,EXIT
11-22 14:05:19.207,WALKING,ENTER
11-22 14:05:50.905,WALKING,EXIT
11-22 14:05:50.925,STILL,ENTER
11-22 14:08:43.528,STILL,EXIT
11-22 14:08:43.539,WALKING,ENTER
11-22 14:12:11.089,WALKING,EXIT
11-22 14:12:11.097,STILL,ENTER
11-22 14:14:57.829,STILL,EXIT
11-22 14:14:57.843,WALKING,ENTER
11-22 14:16:11.093,WALKING,EXIT
11-22 14:16:11.117,STILL,ENTER
11-22 14:32:38.567,STILL,EXIT
11-22 14:32:38.596,UNKNOWN,ENTER
11-22 14:33:00.590,UNKNOWN,EXIT
11-22 14:33:00.609,WALKING,ENTER
11-22 14:33:33.407,WALKING,EXIT
11-22 14:33:33.427,STILL,ENTER
11-22 14:33:51.723,STILL,EXIT
11-22 14:33:51.737,WALKING,ENTER
11-22 14:37:16.976,WALKING,EXIT
11-22 14:37:16.983,STILL,ENTER
11-22 14:38:10.383,STILL,EXIT
11-22 14:38:10.392,WALKING,ENTER
11-22 14:39:36.240,WALKING,EXIT
11-22 14:39:36.249,STILL,ENTER
11-22 14:42:29.653,STILL,EXIT
11-22 14:42:29.662,WALKING,ENTER
11-22 14:43:14.659,WALKING,EXIT
11-22 14:43:14.675,UNKNOWN,ENTER
11-22 15:07:04.621,UNKNOWN,EXIT
11-22 15:07:04.631,WALKING,ENTER
