time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,activity,nextAP,handoverOccured,max_ss,max_rsrp,max_rsrq,diff_in_ss,diff_in_rsrp,diff_in_rsrq
12-03 19:48:28.423,YES,12319826322802,116,16185,675,310260,22,-98,-9,NOVALUE,116.0,0,16,-110,-18,6,12,9
12-03 19:48:29.065,YES,12322022004687,116,16185,675,310260,24,-98,-12,NOVALUE,116.0,0,17,-106,-17,7,8,5
12-03 19:48:31.514,YES,12324507411601,116,16185,675,310260,23,-98,-11,NOVALUE,116.0,0,17,-106,-17,6,8,6
12-03 19:48:34.015,YES,12326827844176,116,16185,675,310260,24,-96,-11,STILL,116.0,0,17,-107,-17,7,11,6
12-03 19:48:36.040,YES,12329017650748,116,16185,675,310260,24,-96,-12,STILL,116.0,0,19,-107,-20,5,11,8
12-03 19:48:38.586,YES,12331540282198,116,16185,675,310260,24,-95,-9,STILL,116.0,0,18,-107,-20,6,12,11
12-03 19:48:41.099,YES,12333825007113,116,16185,675,310260,23,-96,-9,STILL,116.0,0,17,-107,-17,6,11,8
12-03 19:48:43.024,YES,12336017887800,116,16185,675,310260,23,-94,-9,STILL,116.0,0,18,-107,-17,5,13,8
12-03 19:48:45.523,YES,12338516567111,116,16185,675,310260,25,-94,-11,STILL,116.0,0,18,-103,-17,7,9,6
12-03 19:48:48.038,YES,12340843071770,116,16185,675,310260,22,-97,-9,STILL,116.0,0,17,-107,-17,5,10,8
12-03 19:48:50.045,YES,12343028470530,116,16185,675,310260,21,-102,-11,STILL,116.0,0,17,-106,-16,4,4,5
12-03 19:48:52.580,YES,12345551527968,116,16185,675,310260,18,-110,-14,STILL,116.0,0,12,-118,-19,6,8,5
12-03 19:48:55.093,YES,12348055181603,116,16185,675,310260,16,-116,-16,STILL,116.0,0,9,-126,-20,7,10,4
12-03 19:48:57.592,YES,12350555872321,116,16185,675,310260,16,-110,-10,STILL,116.0,0,9,-117,-13,7,7,3
12-03 19:49:00.140,YES,12353119959139,116,16185,675,310260,13,-121,-14,STILL,116.0,0,7,-123,-15,6,2,1
12-03 19:49:02.624,YES,12355581678603,116,16185,675,310260,14,-116,-12,STILL,116.0,0,9,-124,-18,5,8,6
12-03 19:49:05.097,YES,12358063971090,116,16185,675,310260,17,-113,-14,STILL,116.0,0,9,-121,-16,8,8,2
12-03 19:49:07.600,YES,12360568471652,116,16185,675,310260,15,-112,-10,STILL,116.0,0,10,-122,-15,5,10,5
12-03 19:49:10.106,YES,12363071840287,116,16185,675,310260,16,-112,-10,STILL,116.0,0,11,-119,-18,5,7,8
12-03 19:49:12.605,YES,12365573863713,116,16185,675,310260,16,-114,-11,STILL,116.0,0,10,-119,-16,6,5,5
12-03 19:49:15.110,YES,12368078186463,116,16185,675,310260,17,-115,-14,STILL,116.0,0,11,-120,-19,6,5,5
12-03 19:49:17.613,YES,12370580576816,116,16185,675,310260,16,-111,-10,STILL,116.0,0,9,-124,-18,7,13,8
12-03 19:49:20.115,YES,12373082873992,116,16185,675,310260,16,-117,-15,STILL,116.0,0,11,-120,-18,5,3,3
12-03 19:49:22.620,YES,12375585046846,116,16185,675,310260,17,-110,-11,STILL,116.0,0,11,-118,-16,6,8,5
12-03 19:49:25.118,YES,12378088914804,116,16185,675,310260,16,-114,-12,STILL,116.0,0,10,-122,-17,6,8,5
12-03 19:49:27.623,YES,12380594457397,116,16185,675,310260,15,-113,-11,STILL,116.0,0,9,-124,-18,6,11,7
12-03 19:49:29.892,YES,12382884120177,116,16185,675,310260,15,-116,-11,STILL,116.0,0,9,-121,-17,6,5,6
12-03 19:49:37.609,YES,12385278028280,116,16185,675,310260,17,-111,-13,STILL,116.0,0,11,-118,-16,6,7,3
12-03 19:49:43.632,YES,12385909924020,116,16185,675,310260,15,-116,-13,STILL,116.0,0,10,-122,-18,5,6,5
12-03 19:49:55.019,YES,12386374203962,116,16185,2300,310260,15,-113,-9,STILL,116.0,0,8,-124,-16,7,11,7
12-03 19:51:31.550,YES,12387016816630,116,16185,2300,310260,14,-115,-9,STILL,116.0,0,9,-122,-16,5,7,7
12-03 19:51:34.129,YES,12389563485165,116,16185,2300,310260,14,-115,-9,STILL,116.0,0,9,-122,-17,5,7,8
12-03 19:51:36.581,YES,12392034367703,116,16185,2300,310260,14,-120,-13,STILL,116.0,0,9,-123,-18,5,3,5
12-03 19:51:39.093,YES,12394539225974,116,16185,2300,310260,16,-108,-7,STILL,116.0,0,9,-123,-18,7,15,11
12-03 19:51:41.648,YES,12397061368308,116,16185,2300,310260,13,-120,-11,STILL,116.0,0,8,-129,-20,5,9,9
12-03 19:51:44.102,YES,12399548236629,116,16185,2300,310260,14,-116,-10,STILL,116.0,0,8,-129,-19,6,13,9
12-03 19:51:46.592,YES,12402057298754,116,16185,2300,310260,13,-118,-10,STILL,116.0,0,8,-124,-17,5,6,7
12-03 19:51:49.114,YES,12404551096502,116,16185,2300,310260,14,-115,-9,STILL,116.0,0,11,-120,-18,3,5,9
12-03 19:51:51.595,YES,12407054273158,116,16185,2300,310260,14,-118,-12,STILL,116.0,0,11,-120,-18,3,2,6
12-03 19:52:26.642,YES,12408864218078,116,16185,2300,310260,12,-124,-14,STILL,116.0,0,7,-123,-14,5,-1,0
12-03 19:52:44.631,YES,12409273414941,116,16185,2300,310260,17,-114,-14,STILL,116.0,0,10,-126,-20,7,12,6
12-03 19:52:59.297,YES,12409799642025,116,16185,2300,310260,15,-122,-17,STILL,116.0,0,9,-124,-18,6,2,1
12-03 19:53:01.817,YES,12412152911895,116,16185,2300,310260,19,-111,-15,WALKING,116.0,0,31,0,0,-12,-111,-15
12-03 19:53:03.861,YES,12414309550703,116,16185,2300,310260,19,-104,-8,WALKING,116.0,0,31,0,0,-12,-104,-8
12-03 19:53:06.365,YES,12416827037777,116,16185,2300,310260,18,-109,-9,WALKING,116.0,0,31,0,0,-13,-109,-9
12-03 19:53:08.886,YES,12419342567403,116,16185,2300,310260,15,-111,-8,WALKING,116.0,0,31,0,0,-16,-111,-8
12-03 19:53:11.398,YES,12421841905256,116,16185,2300,310260,17,-113,-14,WALKING,116.0,0,31,0,0,-14,-113,-14
12-03 19:53:13.921,YES,12424403406449,116,16185,2300,310260,19,-110,-13,WALKING,116.0,0,31,0,0,-12,-110,-13
12-03 19:53:16.389,YES,12426855933724,116,16185,2300,310260,15,-112,-8,WALKING,116.0,0,31,0,0,-16,-112,-8
12-03 19:53:18.894,YES,12429356970484,116,16185,2300,310260,20,-111,-17,WALKING,116.0,0,31,0,0,-11,-111,-17
12-03 19:53:21.399,YES,12431861004275,116,16185,2300,310260,15,-115,-10,WALKING,116.0,0,31,0,0,-16,-115,-10
12-03 19:53:23.862,YES,12434351971763,116,16185,2300,310260,16,-111,-8,WALKING,116.0,0,31,0,0,-15,-111,-8
12-03 19:53:26.432,YES,12436876942587,116,16185,2300,310260,17,-112,-11,WALKING,116.0,0,31,0,0,-14,-112,-11
12-03 19:53:28.977,YES,12439385382941,116,16185,2300,310260,14,-114,-9,WALKING,116.0,0,7,-127,-16,7,13,7
12-03 19:53:31.408,YES,12441880129023,116,16185,2300,310260,15,-116,-11,WALKING,116.0,0,7,-128,-19,8,12,8
12-03 19:53:33.918,YES,12444372488177,116,16185,2300,310260,15,-113,-8,WALKING,116.0,0,8,-124,-16,7,11,8
12-03 19:53:36.434,YES,12446894242231,116,16185,2300,310260,13,-119,-12,WALKING,116.0,0,7,-129,-19,6,10,7
12-03 19:53:38.900,YES,12449384225656,116,16185,2300,310260,15,-120,-12,WALKING,116.0,0,8,-121,-14,7,1,2
12-03 19:53:41.457,YES,12451900583667,116,16185,2300,310260,16,-111,-9,STILL,116.0,0,9,-125,-20,7,14,11
12-03 19:53:43.929,YES,12454398630478,116,16185,2300,310260,15,-112,-8,STILL,116.0,0,9,-123,-17,6,11,9
12-03 19:53:46.488,YES,12456957394483,116,16185,2300,310260,15,-115,-9,STILL,116.0,0,8,-124,-15,7,9,6
