time, mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
11-12 13:22:52.204,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:52.397,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:52.419,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:52.448,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:52.746,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:52.749,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:52.808,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:53.253,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:53.257,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:53.752,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:53.758,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:53.808,2640258267338,79,34624,850,310410,24,-98,-9,2147483647,2147483647,2147483647
11-12 13:22:54.323,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:54.329,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:54.761,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:54.774,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:54.814,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:55.251,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:55.256,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:55.751,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:55.755,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:55.810,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:56.251,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:56.257,2642757030451,79,34624,850,310410,24,-98,-8,2147483647,2147483647,2147483647
11-12 13:22:56.754,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:56.759,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:56.807,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:57.251,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:57.256,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:57.751,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:57.757,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:57.808,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:58.249,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:58.258,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:58.751,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:58.762,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:58.810,2645195869861,79,34624,850,310410,25,-97,-11,2147483647,2147483647,2147483647
11-12 13:22:59.264,2647274066526,79,34624,850,310410,24,-96,-9,2147483647,2147483647,2147483647
11-12 13:22:59.270,2647274066526,79,34624,850,310410,24,-96,-9,2147483647,2147483647,2147483647
11-12 13:22:59.831,2647274066526,79,34624,850,310410,24,-96,-9,2147483647,2147483647,2147483647
11-12 13:22:59.841,2647274066526,79,34624,850,310410,24,-96,-9,2147483647,2147483647,2147483647
11-12 13:22:59.877,2647274066526,79,34624,850,310410,24,-96,-9,2147483647,2147483647,2147483647
11-12 13:23:00.253,2647274066526,79,34624,850,310410,24,-96,-9,2147483647,2147483647,2147483647
11-12 13:23:00.269,2647274066526,79,34624,850,310410,24,-96,-9,2147483647,2147483647,2147483647
11-12 13:23:00.754,2647274066526,79,34624,850,310410,24,-96,-9,2147483647,2147483647,2147483647
11-12 13:23:00.758,2647274066526,79,34624,850,310410,24,-96,-9,2147483647,2147483647,2147483647
11-12 13:23:00.815,2647274066526,79,34624,850,310410,24,-96,-9,2147483647,2147483647,2147483647
11-12 13:23:01.263,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
11-12 13:23:01.270,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
11-12 13:23:01.759,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
11-12 13:23:01.767,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
11-12 13:23:01.808,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
11-12 13:23:02.250,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
11-12 13:23:02.254,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
11-12 13:23:02.752,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
11-12 13:23:02.755,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
11-12 13:23:02.815,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
11-12 13:23:03.256,2649704015883,79,34624,850,310410,24,-97,-8,2147483647,2147483647,2147483647
