time,activity,status
11-07 16:50:26.886,STILL,ENTER
11-07 16:50:26.895,STILL,ENTER
11-07 16:52:57.316,STILL,ENTER
11-07 16:52:57.331,STILL,ENTER
11-07 16:52:57.337,STILL,ENTER
11-07 16:54:48.463,STILL,EXIT
11-07 16:54:48.489,WALKING,ENTER
11-07 16:54:48.511,STILL,EXIT
11-07 16:54:48.525,WALKING,ENTER
11-07 16:54:48.543,STILL,EXIT
11-07 16:54:48.553,WALKING,ENTER
11-07 16:55:14.074,WALKING,EXIT
11-07 16:55:14.087,STILL,ENTER
11-07 16:55:14.104,WALKING,EXIT
11-07 16:55:14.115,STILL,ENTER
11-07 16:55:14.128,WALKING,EXIT
11-07 16:55:14.135,STILL,ENTER
11-07 16:55:37.996,STILL,EXIT
11-07 16:55:38.011,WALKING,ENTER
11-07 16:55:38.032,STILL,EXIT
11-07 16:55:38.043,WALKING,ENTER
11-07 16:55:38.058,STILL,EXIT
11-07 16:55:38.068,WALKING,ENTER
11-07 16:56:11.910,WALKING,EXIT
11-07 16:56:11.931,STILL,ENTER
11-07 16:56:11.946,WALKING,EXIT
11-07 16:56:11.956,STILL,ENTER
11-07 16:56:11.970,WALKING,EXIT
11-07 16:56:11.977,STILL,ENTER
11-07 16:57:21.578,STILL,EXIT
11-07 16:57:21.602,WALKING,ENTER
11-07 16:57:21.622,STILL,EXIT
11-07 16:57:21.631,WALKING,ENTER
11-07 16:57:21.643,STILL,EXIT
11-07 16:57:21.652,WALKING,ENTER
11-07 16:59:12.132,WALKING,EXIT
11-07 16:59:12.148,STILL,ENTER
11-07 16:59:12.179,WALKING,EXIT
11-07 16:59:12.191,STILL,ENTER
11-07 16:59:12.203,WALKING,EXIT
11-07 16:59:12.210,STILL,ENTER
11-07 17:02:15.613,STILL,EXIT
11-07 17:02:15.635,WALKING,ENTER
11-07 17:02:15.650,STILL,EXIT
11-07 17:02:15.664,WALKING,ENTER
11-07 17:02:15.676,STILL,EXIT
11-07 17:02:15.682,WALKING,ENTER
11-07 17:02:55.964,WALKING,EXIT
11-07 17:02:55.988,UNKNOWN,ENTER
11-07 17:02:56.017,WALKING,EXIT
11-07 17:02:56.027,UNKNOWN,ENTER
11-07 17:02:56.042,WALKING,EXIT
11-07 17:02:56.051,UNKNOWN,ENTER
11-07 17:14:00.270,UNKNOWN,EXIT
11-07 17:14:00.281,WALKING,ENTER
11-07 17:14:00.300,UNKNOWN,EXIT
11-07 17:14:00.311,WALKING,ENTER
11-07 17:14:00.324,UNKNOWN,EXIT
11-07 17:14:00.332,WALKING,ENTER
11-07 17:19:12.896,WALKING,EXIT
11-07 17:19:12.908,STILL,ENTER
11-07 17:19:12.924,WALKING,EXIT
11-07 17:19:12.942,STILL,ENTER
11-07 17:19:12.961,WALKING,EXIT
11-07 17:19:12.977,STILL,ENTER
11-07 17:19:38.583,STILL,EXIT
11-07 17:19:38.597,WALKING,ENTER
11-07 17:19:38.619,STILL,EXIT
11-07 17:19:38.638,WALKING,ENTER
11-07 17:19:38.653,STILL,EXIT
11-07 17:19:38.666,WALKING,ENTER
11-07 17:21:44.200,WALKING,EXIT
11-07 17:21:44.215,STILL,ENTER
11-07 17:21:44.239,WALKING,EXIT
11-07 17:21:44.255,STILL,ENTER
11-07 17:21:44.269,WALKING,EXIT
11-07 17:21:44.278,STILL,ENTER
11-07 17:22:34.766,STILL,EXIT
11-07 17:22:34.789,WALKING,ENTER
11-07 17:22:34.810,STILL,EXIT
11-07 17:22:34.829,WALKING,ENTER
11-07 17:22:34.844,STILL,EXIT
11-07 17:22:34.861,WALKING,ENTER
11-07 17:22:56.127,WALKING,EXIT
11-07 17:22:56.149,STILL,ENTER
11-07 17:22:56.195,WALKING,EXIT
11-07 17:22:56.211,STILL,ENTER
11-07 17:22:56.230,WALKING,EXIT
11-07 17:22:56.238,STILL,ENTER
11-07 17:27:33.976,STILL,EXIT
11-07 17:27:33.988,WALKING,ENTER
11-07 17:27:34.005,STILL,EXIT
11-07 17:27:34.016,WALKING,ENTER
11-07 17:27:34.028,STILL,EXIT
11-07 17:27:34.043,WALKING,ENTER
11-07 17:28:00.519,WALKING,EXIT
11-07 17:28:00.533,STILL,ENTER
11-07 17:28:00.549,WALKING,EXIT
11-07 17:28:00.559,STILL,ENTER
11-07 17:28:00.567,WALKING,EXIT
11-07 17:28:00.577,STILL,ENTER
11-07 17:44:13.276,STILL,EXIT
11-07 17:44:13.290,WALKING,ENTER
11-07 17:44:13.306,STILL,EXIT
11-07 17:44:13.319,WALKING,ENTER
11-07 17:44:13.333,STILL,EXIT
11-07 17:44:13.343,WALKING,ENTER
11-07 17:45:16.505,WALKING,EXIT
11-07 17:45:16.528,STILL,ENTER
11-07 17:45:16.557,WALKING,EXIT
11-07 17:45:16.574,STILL,ENTER
11-07 17:45:16.585,WALKING,EXIT
11-07 17:45:16.594,STILL,ENTER
11-07 18:02:10.818,STILL,EXIT
11-07 18:02:10.846,WALKING,ENTER
11-07 18:02:10.868,STILL,EXIT
11-07 18:02:10.881,WALKING,ENTER
11-07 18:02:10.897,STILL,EXIT
11-07 18:02:10.902,WALKING,ENTER
11-07 18:03:01.549,WALKING,EXIT
11-07 18:03:01.567,STILL,ENTER
11-07 18:03:01.580,WALKING,EXIT
11-07 18:03:01.589,STILL,ENTER
11-07 18:03:01.601,WALKING,EXIT
11-07 18:03:01.609,STILL,ENTER
11-07 18:19:23.919,STILL,EXIT
11-07 18:19:23.948,WALKING,ENTER
11-07 18:19:23.973,STILL,EXIT
11-07 18:19:23.983,WALKING,ENTER
11-07 18:19:24.002,STILL,EXIT
11-07 18:19:24.012,WALKING,ENTER
11-07 18:19:57.094,WALKING,EXIT
11-07 18:19:57.107,STILL,ENTER
11-07 18:19:57.122,WALKING,EXIT
11-07 18:19:57.130,STILL,ENTER
11-07 18:19:57.142,WALKING,EXIT
11-07 18:19:57.149,STILL,ENTER
11-07 18:28:10.059,STILL,EXIT
11-07 18:28:10.100,WALKING,ENTER
11-07 18:28:10.126,STILL,EXIT
11-07 18:28:10.142,WALKING,ENTER
11-07 18:28:10.160,STILL,EXIT
11-07 18:28:10.174,WALKING,ENTER
11-07 18:30:38.459,WALKING,EXIT
11-07 18:30:38.494,STILL,ENTER
11-07 18:30:38.512,WALKING,EXIT
11-07 18:30:38.548,STILL,ENTER
11-07 18:30:38.564,WALKING,EXIT
11-07 18:30:38.570,STILL,ENTER
11-07 18:38:37.034,STILL,EXIT
11-07 18:38:37.050,WALKING,ENTER
