time,activity,status
11-07 18:38:37.069,STILL,EXIT
11-07 18:38:37.092,WALKING,ENTER
11-07 18:38:37.103,STILL,EXIT
11-07 18:38:37.123,WALKING,ENTER
11-07 18:40:35.665,WALKING,EXIT
11-07 18:40:35.680,STILL,ENTER
11-07 18:40:35.701,WALKING,EXIT
11-07 18:40:35.720,STILL,ENTER
11-07 18:40:35.735,WALKING,EXIT
11-07 18:40:35.745,STILL,ENTER
11-07 18:40:51.744,STILL,EXIT
11-07 18:40:51.755,WALKING,ENTER
11-07 18:40:51.772,STILL,EXIT
11-07 18:40:51.786,WALKING,ENTER
11-07 18:40:51.796,STILL,EXIT
11-07 18:40:51.806,WALKING,ENTER
11-07 18:41:15.322,WALKING,EXIT
11-07 18:41:15.337,STILL,ENTER
11-07 18:41:15.351,WALKING,EXIT
11-07 18:41:15.362,STILL,ENTER
11-07 18:41:15.374,WALKING,EXIT
11-07 18:41:15.381,STILL,ENTER
11-07 18:53:59.527,STILL,EXIT
11-07 18:53:59.546,UNKNOWN,ENTER
11-07 18:53:59.581,STILL,EXIT
11-07 18:53:59.597,UNKNOWN,ENTER
11-07 18:53:59.614,STILL,EXIT
11-07 18:53:59.623,UNKNOWN,ENTER
11-07 19:04:16.829,UNKNOWN,EXIT
11-07 19:04:16.844,WALKING,ENTER
11-07 19:04:16.876,UNKNOWN,EXIT
11-07 19:04:16.891,WALKING,ENTER
11-07 19:04:16.905,UNKNOWN,EXIT
11-07 19:04:16.914,WALKING,ENTER
11-07 19:06:06.960,WALKING,EXIT
11-07 19:06:06.994,STILL,ENTER
11-07 19:06:07.014,WALKING,EXIT
11-07 19:06:07.034,STILL,ENTER
11-07 19:06:07.053,WALKING,EXIT
11-07 19:06:07.062,STILL,ENTER
11-07 19:06:50.930,STILL,EXIT
11-07 19:06:50.944,WALKING,ENTER
11-07 19:06:50.963,STILL,EXIT
11-07 19:06:50.979,WALKING,ENTER
11-07 19:06:50.993,STILL,EXIT
11-07 19:06:51.004,WALKING,ENTER
11-07 19:08:59.441,WALKING,EXIT
11-07 19:08:59.527,STILL,ENTER
11-07 19:08:59.552,WALKING,EXIT
11-07 19:08:59.570,STILL,ENTER
11-07 19:08:59.589,WALKING,EXIT
11-07 19:08:59.597,STILL,ENTER
11-07 19:10:40.756,STILL,EXIT
11-07 19:10:40.804,WALKING,ENTER
11-07 19:10:40.848,STILL,EXIT
11-07 19:10:40.871,WALKING,ENTER
11-07 19:10:40.914,STILL,EXIT
11-07 19:10:40.934,WALKING,ENTER
11-07 19:13:05.309,WALKING,EXIT
11-07 19:13:05.344,STILL,ENTER
11-07 19:13:05.358,WALKING,EXIT
11-07 19:13:05.370,STILL,ENTER
11-07 19:13:05.387,WALKING,EXIT
11-07 19:13:05.396,STILL,ENTER
11-07 19:13:27.438,STILL,EXIT
11-07 19:13:27.454,WALKING,ENTER
11-07 19:13:27.474,STILL,EXIT
11-07 19:13:27.483,WALKING,ENTER
11-07 19:13:27.491,STILL,EXIT
11-07 19:13:27.507,WALKING,ENTER
11-07 19:15:19.651,WALKING,EXIT
11-07 19:15:19.686,STILL,ENTER
11-07 19:15:19.708,WALKING,EXIT
11-07 19:15:19.728,STILL,ENTER
11-07 19:15:19.754,WALKING,EXIT
11-07 19:15:19.768,STILL,ENTER
11-07 19:15:38.016,STILL,EXIT
11-07 19:15:38.042,WALKING,ENTER
11-07 19:15:38.061,STILL,EXIT
11-07 19:15:38.073,WALKING,ENTER
11-07 19:15:38.083,STILL,EXIT
11-07 19:15:38.088,WALKING,ENTER
11-07 19:17:39.862,WALKING,EXIT
11-07 19:17:39.871,STILL,ENTER
11-07 19:17:39.882,WALKING,EXIT
11-07 19:17:39.893,STILL,ENTER
11-07 19:17:39.904,WALKING,EXIT
11-07 19:17:39.910,STILL,ENTER
11-07 19:18:27.840,STILL,EXIT
11-07 19:18:27.855,WALKING,ENTER
11-07 19:18:27.877,STILL,EXIT
11-07 19:18:27.888,WALKING,ENTER
11-07 19:18:27.902,STILL,EXIT
11-07 19:18:27.907,WALKING,ENTER
11-07 19:20:34.770,WALKING,EXIT
11-07 19:20:34.781,STILL,ENTER
11-07 19:20:34.794,WALKING,EXIT
11-07 19:20:34.803,STILL,ENTER
11-07 19:20:34.815,WALKING,EXIT
11-07 19:20:34.821,STILL,ENTER
11-07 19:21:24.026,STILL,EXIT
11-07 19:21:24.036,WALKING,ENTER
11-07 19:21:24.053,STILL,EXIT
11-07 19:21:24.065,WALKING,ENTER
11-07 19:21:24.079,STILL,EXIT
11-07 19:21:24.087,WALKING,ENTER
11-07 19:22:07.717,WALKING,EXIT
11-07 19:22:07.724,STILL,ENTER
11-07 19:22:07.735,WALKING,EXIT
11-07 19:22:07.743,STILL,ENTER
11-07 19:22:07.756,WALKING,EXIT
11-07 19:22:07.763,STILL,ENTER
11-07 19:23:32.536,STILL,EXIT
11-07 19:23:32.563,WALKING,ENTER
11-07 19:23:32.584,STILL,EXIT
11-07 19:23:32.594,WALKING,ENTER
11-07 19:23:32.606,STILL,EXIT
11-07 19:23:32.614,WALKING,ENTER
11-07 19:24:15.916,WALKING,EXIT
11-07 19:24:15.932,STILL,ENTER
11-07 19:24:15.950,WALKING,EXIT
11-07 19:24:15.959,STILL,ENTER
11-07 19:24:15.973,WALKING,EXIT
11-07 19:24:15.980,STILL,ENTER
11-07 19:26:32.450,STILL,EXIT
11-07 19:26:32.469,WALKING,ENTER
11-07 19:26:32.484,STILL,EXIT
11-07 19:26:32.499,WALKING,ENTER
11-07 19:26:32.508,STILL,EXIT
11-07 19:26:32.516,WALKING,ENTER
11-07 19:27:23.470,WALKING,EXIT
11-07 19:27:23.484,STILL,ENTER
11-07 19:27:23.521,WALKING,EXIT
11-07 19:27:23.536,STILL,ENTER
11-07 19:27:23.554,WALKING,EXIT
11-07 19:27:23.563,STILL,ENTER
11-07 19:27:48.218,STILL,EXIT
11-07 19:27:48.235,UNKNOWN,ENTER
11-07 19:27:48.244,STILL,EXIT
11-07 19:27:48.252,UNKNOWN,ENTER
11-07 19:27:48.264,STILL,EXIT
11-07 19:27:48.269,UNKNOWN,ENTER
11-07 19:55:58.283,UNKNOWN,EXIT
11-07 19:55:58.303,WALKING,ENTER
11-07 19:55:58.321,UNKNOWN,EXIT
11-07 19:55:58.333,WALKING,ENTER
11-07 19:55:58.350,UNKNOWN,EXIT
11-07 19:55:58.358,WALKING,ENTER
11-07 20:02:51.949,WALKING,EXIT
11-07 20:02:51.980,STILL,ENTER
11-07 20:02:52.014,WALKING,EXIT
