time,activity,status
12-03 19:48:33.262,STILL,ENTER
12-03 19:52:59.567,STILL,EXIT
12-03 19:52:59.581,WALKING,ENTER
12-03 19:53:39.635,WALKING,EXIT
12-03 19:53:39.655,STILL,ENTER
12-03 19:54:05.365,STILL,EXIT
12-03 19:54:05.397,WALKING,ENTER
12-03 20:01:22.455,WALKING,EXIT
12-03 20:01:22.471,STILL,ENTER
12-03 20:01:51.896,STILL,EXIT
12-03 20:01:51.913,WALKING,ENTER
12-03 20:05:05.117,WALKING,EXIT
12-03 20:05:05.139,STILL,ENTER
12-03 20:05:27.184,STILL,EXIT
12-03 20:05:27.195,WALKING,ENTER
12-03 20:07:25.332,WALKING,EXIT
12-03 20:07:25.362,STILL,ENTER
12-03 20:09:08.295,STILL,EXIT
12-03 20:09:08.309,WALKING,ENTER
12-03 20:10:44.959,WALKING,EXIT
12-03 20:10:44.973,STILL,ENTER
12-03 20:11:24.916,STILL,EXIT
12-03 20:11:24.932,WALKING,ENTER
12-03 20:21:01.239,WALKING,EXIT
12-03 20:21:01.252,UNKNOWN,ENTER
12-03 20:21:19.697,UNKNOWN,EXIT
12-03 20:21:19.707,WALKING,ENTER
12-03 20:22:47.762,WALKING,EXIT
12-03 20:22:47.786,STILL,ENTER
12-03 20:23:29.141,STILL,EXIT
12-03 20:23:29.153,WALKING,ENTER
12-03 20:31:29.772,WALKING,EXIT
12-03 20:31:29.838,STILL,ENTER
12-03 20:31:48.020,STILL,EXIT
12-03 20:31:48.041,WALKING,ENTER
12-03 20:32:39.810,WALKING,EXIT
12-03 20:32:39.847,STILL,ENTER
12-03 20:36:46.429,STILL,EXIT
12-03 20:36:46.445,WALKING,ENTER
12-03 20:38:01.062,WALKING,EXIT
12-03 20:38:01.124,STILL,ENTER
12-03 20:38:41.489,STILL,EXIT
12-03 20:38:41.541,WALKING,ENTER
12-03 20:41:14.003,WALKING,EXIT
12-03 20:41:14.040,STILL,ENTER
12-03 20:57:14.827,STILL,EXIT
12-03 20:57:14.849,WALKING,ENTER
12-03 21:00:08.743,WALKING,EXIT
12-03 21:00:08.765,STILL,ENTER
12-03 21:03:04.756,STILL,EXIT
12-03 21:03:04.792,WALKING,ENTER
12-03 21:04:49.885,WALKING,EXIT
12-03 21:04:49.900,STILL,ENTER
12-03 21:07:55.558,STILL,EXIT
12-03 21:07:55.572,WALKING,ENTER
12-03 21:17:31.905,WALKING,EXIT
12-03 21:17:31.943,STILL,ENTER
12-03 21:17:50.209,STILL,EXIT
12-03 21:17:50.250,WALKING,ENTER
12-03 21:18:47.024,WALKING,EXIT
12-03 21:18:47.058,STILL,ENTER
12-03 22:01:01.060,STILL,EXIT
12-03 22:01:01.077,WALKING,ENTER
12-03 22:01:54.599,WALKING,EXIT
12-03 22:01:54.611,STILL,ENTER
12-04 01:05:51.425,STILL,EXIT
12-04 01:05:51.449,WALKING,ENTER
12-04 01:07:17.220,WALKING,EXIT
12-04 01:07:17.267,STILL,ENTER
12-04 01:08:59.066,STILL,EXIT
12-04 01:08:59.081,WALKING,ENTER
12-04 01:10:04.985,WALKING,EXIT
12-04 01:10:05.015,STILL,ENTER
12-04 01:13:28.838,STILL,EXIT
12-04 01:13:28.859,WALKING,ENTER
12-04 01:22:50.124,WALKING,EXIT
12-04 01:22:50.137,STILL,ENTER
12-04 01:23:08.391,STILL,EXIT
12-04 01:23:08.418,WALKING,ENTER
12-04 01:28:05.731,WALKING,EXIT
12-04 01:28:05.742,STILL,ENTER
12-04 01:28:27.699,STILL,EXIT
12-04 01:28:27.715,WALKING,ENTER
12-04 01:32:15.384,WALKING,EXIT
12-04 01:32:15.405,STILL,ENTER
