time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,rssnr,cqi,ta
11-21 15:00:31.800,YES,137464339487470,234,34624,9820,310410,19,-107,-13,2147483647,2147483647,2147483647
11-21 15:00:31.800,NO,137464339487470,116,2147483647,9820,nullnull,11,-123,-20,2147483647,2147483647,2147483647
11-21 15:00:31.800,NO,137464339487470,399,2147483647,850,nullnull,23,-93,-16,2147483647,2147483647,2147483647
11-21 15:00:31.800,NO,137464339487470,10,2147483647,850,nullnull,23,-92,-15,2147483647,2147483647,2147483647
11-21 15:00:31.800,NO,137464339487470,210,2147483647,850,nullnull,23,-92,-15,2147483647,2147483647,2147483647
11-21 15:00:31.800,NO,137464339487470,171,2147483647,850,nullnull,23,-98,-20,2147483647,2147483647,2147483647
11-21 15:00:31.800,NO,137464339487470,316,2147483647,5780,nullnull,26,-85,-15,2147483647,2147483647,2147483647
11-21 15:00:31.800,NO,137464339487470,218,2147483647,5780,nullnull,26,-89,-17,2147483647,2147483647,2147483647
11-21 15:00:31.800,NO,137464339487470,373,2147483647,5780,nullnull,26,-83,-14,2147483647,2147483647,2147483647}]
11-21 15:00:31.812,YES,137464339487470,234,34624,9820,310410,19,-107,-13,2147483647,2147483647,2147483647
11-21 15:00:31.812,NO,137464339487470,116,2147483647,9820,nullnull,11,-123,-20,2147483647,2147483647,2147483647
11-21 15:00:31.812,NO,137464339487470,399,2147483647,850,nullnull,23,-93,-16,2147483647,2147483647,2147483647
11-21 15:00:31.812,NO,137464339487470,10,2147483647,850,nullnull,23,-92,-15,2147483647,2147483647,2147483647
11-21 15:00:31.812,NO,137464339487470,210,2147483647,850,nullnull,23,-92,-15,2147483647,2147483647,2147483647
11-21 15:00:31.812,NO,137464339487470,171,2147483647,850,nullnull,23,-98,-20,2147483647,2147483647,2147483647
11-21 15:00:31.812,NO,137464339487470,316,2147483647,5780,nullnull,26,-85,-15,2147483647,2147483647,2147483647
11-21 15:00:31.812,NO,137464339487470,218,2147483647,5780,nullnull,26,-89,-17,2147483647,2147483647,2147483647
11-21 15:00:31.812,NO,137464339487470,373,2147483647,5780,nullnull,26,-83,-14,2147483647,2147483647,2147483647}]
11-21 15:00:37.662,YES,137464339487470,234,34624,9820,310410,19,-107,-13,2147483647,2147483647,2147483647
11-21 15:00:37.662,NO,137464339487470,116,2147483647,9820,nullnull,11,-123,-20,2147483647,2147483647,2147483647
11-21 15:00:37.662,NO,137464339487470,399,2147483647,850,nullnull,23,-93,-16,2147483647,2147483647,2147483647
11-21 15:00:37.662,NO,137464339487470,10,2147483647,850,nullnull,23,-92,-15,2147483647,2147483647,2147483647
11-21 15:00:37.662,NO,137464339487470,210,2147483647,850,nullnull,23,-92,-15,2147483647,2147483647,2147483647
11-21 15:00:37.662,NO,137464339487470,171,2147483647,850,nullnull,23,-98,-20,2147483647,2147483647,2147483647
11-21 15:00:37.662,NO,137464339487470,316,2147483647,5780,nullnull,26,-85,-15,2147483647,2147483647,2147483647
11-21 15:00:37.662,NO,137464339487470,218,2147483647,5780,nullnull,26,-89,-17,2147483647,2147483647,2147483647
11-21 15:00:37.662,NO,137464339487470,373,2147483647,5780,nullnull,26,-83,-14,2147483647,2147483647,2147483647}]
11-21 15:00:43.723,YES,137465054772229,234,34624,9820,310410,17,-109,-12,2147483647,2147483647,2147483647
11-21 15:00:43.723,NO,137465054772229,116,2147483647,9820,nullnull,10,-124,-20,2147483647,2147483647,2147483647
11-21 15:00:43.723,NO,137465054772229,210,2147483647,850,nullnull,24,-92,-16,2147483647,2147483647,2147483647
11-21 15:00:43.723,NO,137465054772229,10,2147483647,850,nullnull,24,-89,-13,2147483647,2147483647,2147483647
11-21 15:00:43.723,NO,137465054772229,399,2147483647,850,nullnull,24,-94,-19,2147483647,2147483647,2147483647
11-21 15:00:43.723,NO,137465054772229,171,2147483647,850,nullnull,24,-96,-20,2147483647,2147483647,2147483647
11-21 15:00:43.723,NO,137465054772229,316,2147483647,5780,nullnull,26,-85,-15,2147483647,2147483647,2147483647
11-21 15:00:43.723,NO,137465054772229,218,2147483647,5780,nullnull,26,-89,-17,2147483647,2147483647,2147483647
11-21 15:00:43.723,NO,137465054772229,373,2147483647,5780,nullnull,26,-83,-14,2147483647,2147483647,2147483647}]
11-21 15:00:43.724,YES,137465054772229,234,34624,9820,310410,17,-109,-12,2147483647,2147483647,2147483647
11-21 15:00:43.724,NO,137465054772229,116,2147483647,9820,nullnull,10,-124,-20,2147483647,2147483647,2147483647
11-21 15:00:43.724,NO,137465054772229,210,2147483647,850,nullnull,24,-92,-16,2147483647,2147483647,2147483647
11-21 15:00:43.724,NO,137465054772229,10,2147483647,850,nullnull,24,-89,-13,2147483647,2147483647,2147483647
11-21 15:00:43.724,NO,137465054772229,399,2147483647,850,nullnull,24,-94,-19,2147483647,2147483647,2147483647
11-21 15:00:43.724,NO,137465054772229,171,2147483647,850,nullnull,24,-96,-20,2147483647,2147483647,2147483647
11-21 15:00:43.724,NO,137465054772229,316,2147483647,5780,nullnull,26,-85,-15,2147483647,2147483647,2147483647
11-21 15:00:43.724,NO,137465054772229,218,2147483647,5780,nullnull,26,-89,-17,2147483647,2147483647,2147483647
11-21 15:00:43.724,NO,137465054772229,373,2147483647,5780,nullnull,26,-83,-14,2147483647,2147483647,2147483647}]
11-21 15:00:43.737,YES,137465054772229,234,34624,9820,310410,17,-109,-12,2147483647,2147483647,2147483647
11-21 15:00:43.737,NO,137465054772229,116,2147483647,9820,nullnull,10,-124,-20,2147483647,2147483647,2147483647
11-21 15:00:43.737,NO,137465054772229,210,2147483647,850,nullnull,24,-92,-16,2147483647,2147483647,2147483647
11-21 15:00:43.737,NO,137465054772229,10,2147483647,850,nullnull,24,-89,-13,2147483647,2147483647,2147483647
11-21 15:00:43.737,NO,137465054772229,399,2147483647,850,nullnull,24,-94,-19,2147483647,2147483647,2147483647
