time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,activity,nextAP,handoverOccured,max_ss,max_rsrp,max_rsrq,diff_in_ss,diff_in_rsrp,diff_in_rsrq
11-30 09:29:21.131,YES,83993619053984,202,34624.0,850,310410,23,-98,-8,UNKNOWN,202.0,0,16,-107,-16,7,9,8
11-30 09:29:23.198,YES,83995690143409,202,34624.0,850,310410,24,-98,-11,UNKNOWN,202.0,0,17,-109,-20,7,11,9
11-30 09:29:25.288,YES,83997779467888,202,34624.0,850,310410,24,-97,-11,UNKNOWN,202.0,0,16,-104,-15,8,7,4
11-30 09:29:27.705,YES,84000196806566,202,34624.0,850,310410,23,-97,-10,UNKNOWN,202.0,0,16,-107,-17,7,10,7
11-30 09:29:30.199,YES,84002318811778,202,34624.0,850,310410,24,-97,-11,UNKNOWN,202.0,0,17,-103,-15,7,6,4
11-30 09:29:32.195,YES,84004342115208,202,34624.0,850,310410,24,-97,-11,UNKNOWN,202.0,0,17,-104,-16,7,7,5
11-30 09:29:34.223,YES,84006712242997,202,34624.0,850,310410,24,-98,-10,UNKNOWN,202.0,0,17,-108,-20,7,10,10
11-30 09:29:36.772,YES,84009250937937,202,34624.0,850,310410,23,-98,-10,UNKNOWN,202.0,0,17,-104,-14,6,6,4
11-30 09:29:39.253,YES,84011727907871,202,34624.0,850,310410,23,-100,-11,UNKNOWN,202.0,0,16,-105,-15,7,5,4
11-30 09:29:41.713,YES,84014203011764,202,34624.0,850,310410,23,-100,-11,UNKNOWN,202.0,0,17,-103,-14,6,3,3
11-30 09:29:43.753,YES,84016232053684,202,34624.0,850,310410,23,-101,-12,UNKNOWN,202.0,0,17,-104,-14,6,3,2
11-30 09:29:46.253,YES,84018732684767,202,34624.0,850,310410,23,-100,-11,UNKNOWN,202.0,0,17,-104,-14,6,4,3
11-30 09:29:48.763,YES,84021240360486,202,34624.0,850,310410,23,-100,-10,UNKNOWN,202.0,0,17,-105,-16,6,5,6
11-30 09:29:51.261,YES,84023740702089,202,34624.0,850,310410,23,-100,-11,UNKNOWN,202.0,0,16,-103,-12,7,3,1
11-30 09:29:53.773,YES,84026243086348,202,34624.0,850,310410,23,-101,-11,UNKNOWN,202.0,0,16,-106,-15,7,5,4
11-30 09:29:56.268,YES,84028747854359,202,34624.0,850,310410,23,-99,-11,UNKNOWN,202.0,0,17,-105,-15,6,6,4
11-30 09:29:58.781,YES,84031260752213,202,34624.0,850,310410,23,-99,-10,UNKNOWN,202.0,0,17,-107,-17,6,8,7
11-30 09:30:01.265,YES,84033751515846,202,34624.0,850,310410,23,-99,-11,UNKNOWN,202.0,0,15,-105,-13,8,6,2
11-30 09:30:03.796,YES,84036279376775,202,34624.0,850,310410,23,-100,-11,UNKNOWN,202.0,0,17,-106,-16,6,6,5
11-30 09:30:06.317,YES,84038784787546,202,34624.0,850,310410,23,-100,-13,UNKNOWN,202.0,0,16,-105,-13,7,5,0
11-30 09:30:08.807,YES,84041287655399,202,34624.0,850,310410,23,-100,-11,UNKNOWN,202.0,0,17,-105,-17,6,5,6
11-30 09:30:11.312,YES,84043792995805,202,34624.0,850,310410,23,-99,-11,UNKNOWN,202.0,0,17,-105,-15,6,6,4
11-30 09:30:13.824,YES,84046300901888,202,34624.0,850,310410,24,-100,-13,UNKNOWN,202.0,0,16,-106,-15,8,6,2
11-30 09:30:16.339,YES,84048815766566,202,34624.0,850,310410,24,-101,-16,UNKNOWN,202.0,0,16,-104,-14,8,3,-2
11-30 09:30:18.845,YES,84051323655462,202,34624.0,850,310410,22,-100,-10,UNKNOWN,202.0,0,16,-107,-14,6,7,4
11-30 09:30:21.353,YES,84053829949982,202,34624.0,850,310410,24,-101,-15,UNKNOWN,202.0,0,17,-104,-14,7,3,-1
11-30 09:30:23.866,YES,84056340917159,202,34624.0,850,310410,24,-100,-12,UNKNOWN,202.0,0,17,-106,-16,7,6,4
11-30 09:30:26.373,YES,84058846562826,202,34624.0,850,310410,23,-100,-13,UNKNOWN,202.0,0,18,-105,-18,5,5,5
11-30 09:30:28.877,YES,84061355772503,202,34624.0,850,310410,23,-100,-11,UNKNOWN,202.0,0,16,-106,-16,7,6,5
11-30 09:30:31.384,YES,84063860448898,202,34624.0,850,310410,24,-99,-14,UNKNOWN,202.0,0,19,-104,-18,5,5,4
11-30 09:30:33.883,YES,84066362248262,202,34624.0,850,310410,23,-100,-11,UNKNOWN,202.0,0,16,-108,-17,7,8,6
11-30 09:30:35.977,YES,84068451955762,202,34624.0,850,310410,23,-100,-12,UNKNOWN,202.0,0,16,-106,-14,7,6,2
11-30 09:30:36.343,YES,84068470508680,202,34624.0,850,310410,23,-100,-12,UNKNOWN,202.0,0,16,-106,-14,7,6,2
11-30 09:30:38.347,YES,84070838665843,202,34624.0,850,310410,26,-98,-15,UNKNOWN,202.0,0,19,-108,-20,7,10,5
11-30 09:30:40.395,YES,84072874725681,202,34624.0,850,310410,26,-97,-13,UNKNOWN,202.0,0,17,-111,-20,9,14,7
11-30 09:30:42.845,YES,84075322872800,202,34624.0,850,310410,25,-98,-12,UNKNOWN,202.0,0,17,-109,-19,8,11,7
11-30 09:30:44.903,YES,84077374877640,202,34624.0,850,310410,25,-98,-13,UNKNOWN,202.0,0,17,-112,-20,8,14,7
11-30 09:30:45.370,YES,84077403292435,202,34624.0,850,310410,25,-98,-13,UNKNOWN,202.0,0,17,-112,-20,8,14,7
11-30 09:30:47.383,YES,84079863474242,202,34624.0,850,310410,25,-99,-13,UNKNOWN,202.0,0,18,-106,-19,7,7,6
11-30 09:30:49.888,YES,84082371336002,202,34624.0,850,310410,25,-99,-14,UNKNOWN,202.0,0,17,-109,-20,8,10,6
11-30 09:31:46.459,YES,84082834800059,202,34624.0,850,310410,21,-105,-10,UNKNOWN,202.0,0,0,-1000,-1000,21,895,990
11-30 09:33:50.217,YES,84083558673100,202,34624.0,850,310410,16,-113,-11,UNKNOWN,202.0,0,9,-124,-19,7,11,8
11-30 09:33:52.702,YES,84086053866942,202,34624.0,850,310410,18,-110,-13,UNKNOWN,202.0,0,13,-116,-18,5,6,5
11-30 09:34:53.829,YES,84088551309118,202,34624.0,850,310410,14,-117,-10,UNKNOWN,202.0,0,7,-126,-17,7,9,7
11-30 09:34:56.347,YES,84090705527093,202,34624.0,850,310410,15,-115,-11,WALKING,202.0,0,9,-122,-17,6,7,6
11-30 09:34:58.352,YES,84093068471391,202,34624.0,850,310410,16,-114,-10,WALKING,202.0,0,10,-123,-17,6,9,7
11-30 09:35:00.875,YES,84095582925756,202,34624.0,850,310410,14,-116,-10,WALKING,202.0,0,7,-127,-19,7,11,9
11-30 09:35:03.413,YES,84098073915692,202,34624.0,850,310410,15,-116,-12,WALKING,202.0,0,9,-124,-19,6,8,7
11-30 09:35:05.872,YES,84100583946410,202,34624.0,850,310410,15,-114,-10,WALKING,202.0,0,9,-122,-16,6,8,6
11-30 09:35:08.388,YES,84103092838275,202,34624.0,850,310410,16,-114,-12,WALKING,202.0,0,10,-123,-20,6,9,8
11-30 09:35:10.867,YES,84105347203291,202,34624.0,850,310410,16,-114,-12,STILL,202.0,0,9,-123,-17,7,9,5
11-30 09:35:12.902,YES,84107596674974,202,34624.0,850,310410,15,-115,-11,STILL,202.0,0,0,-1000,-1000,15,885,989
11-30 09:35:15.398,YES,84110098685587,202,34624.0,850,310410,14,-114,-9,STILL,202.0,0,0,-1000,-1000,14,886,991
11-30 09:35:17.901,YES,84112609805733,202,34624.0,850,310410,17,-114,-13,STILL,202.0,0,0,-1000,-1000,17,886,987
11-30 09:35:20.403,YES,84115111442962,202,34624.0,850,310410,16,-113,-12,STILL,202.0,0,0,-1000,-1000,16,887,988
11-30 09:35:22.916,YES,84117629543629,202,34624.0,850,310410,16,-115,-12,STILL,202.0,0,0,-1000,-1000,16,885,988
11-30 09:35:25.425,YES,84120137631171,202,34624.0,850,310410,15,-114,-10,STILL,202.0,0,0,-1000,-1000,15,886,990
11-30 09:35:27.986,YES,84122673802778,202,34624.0,850,310410,16,-114,-10,STILL,202.0,0,0,-1000,-1000,16,886,990
11-30 09:35:30.411,YES,84124739565692,202,34624.0,850,310410,16,-115,-10,STILL,202.0,0,0,-1000,-1000,16,885,990
11-30 09:35:32.438,YES,84127153115776,202,34624.0,850,310410,16,-114,-11,STILL,202.0,0,0,-1000,-1000,16,886,989
11-30 09:35:34.932,YES,84129269729581,202,34624.0,850,310410,16,-115,-12,STILL,202.0,0,0,-1000,-1000,16,885,988
11-30 09:35:36.948,YES,84131660269715,202,34624.0,850,310410,16,-114,-12,STILL,202.0,0,0,-1000,-1000,16,886,988
11-30 09:35:39.442,YES,84133677138405,202,34624.0,850,310410,16,-114,-12,STILL,202.0,0,0,-1000,-1000,16,886,988
11-30 09:35:41.488,YES,84136190805635,202,34624.0,850,310410,14,-118,-12,STILL,202.0,0,0,-1000,-1000,14,882,988
11-30 09:35:43.959,YES,84138673218538,202,34624.0,850,310410,15,-116,-12,STILL,202.0,0,0,-1000,-1000,15,884,988
11-30 09:35:44.449,YES,84138687991092,202,34624.0,850,310410,15,-116,-12,STILL,202.0,0,0,-1000,-1000,15,884,988
11-30 09:35:46.543,YES,84141261464994,202,34624.0,850,310410,17,-112,-12,STILL,202.0,0,0,-1000,-1000,17,888,988
11-30 09:35:48.995,YES,84143709701904,202,34624.0,850,310410,19,-109,-14,STILL,202.0,0,0,-1000,-1000,19,891,986
11-30 09:35:51.509,YES,84146215687623,202,34624.0,850,310410,17,-108,-9,STILL,202.0,0,0,-1000,-1000,17,892,991
11-30 09:35:54.039,YES,84148733052822,202,34624.0,850,310410,16,-113,-10,STILL,202.0,0,0,-1000,-1000,16,887,990
11-30 09:35:56.526,YES,84151235412237,202,34624.0,850,310410,17,-113,-13,STILL,202.0,0,0,-1000,-1000,17,887,987
11-30 09:35:59.062,YES,84153778561658,202,34624.0,850,310410,18,-109,-11,STILL,202.0,0,0,-1000,-1000,18,891,989
11-30 09:36:01.529,YES,84156237379142,202,34624.0,850,310410,16,-114,-11,STILL,202.0,0,0,-1000,-1000,16,886,989
11-30 09:36:04.062,YES,84158776151010,202,34624.0,850,310410,20,-107,-12,STILL,202.0,0,0,-1000,-1000,20,893,988
11-30 09:36:06.564,YES,84161270049070,202,34624.0,850,310410,20,-109,-15,STILL,202.0,0,0,-1000,-1000,20,891,985
11-30 09:36:09.014,YES,84163738358587,202,34624.0,850,310410,18,-107,-10,STILL,202.0,0,0,-1000,-1000,18,893,990
11-30 09:36:11.052,YES,84165765860247,202,34624.0,850,310410,18,-108,-10,STILL,202.0,0,0,-1000,-1000,18,892,990
11-30 09:36:13.578,YES,84168289447009,202,34624.0,850,310410,18,-109,-11,STILL,202.0,0,0,-1000,-1000,18,891,989
11-30 09:36:16.065,YES,84170780036841,202,34624.0,850,310410,19,-108,-11,STILL,202.0,0,0,-1000,-1000,19,892,989
11-30 09:36:18.112,YES,84172823764128,202,34624.0,850,310410,17,-111,-9,STILL,202.0,0,0,-1000,-1000,17,889,991
11-30 09:36:20.594,YES,84175306712656,202,34624.0,850,310410,18,-109,-10,STILL,202.0,0,0,-1000,-1000,18,891,990
11-30 09:36:23.091,YES,84177805166707,202,34624.0,850,310410,17,-110,-10,STILL,202.0,0,0,-1000,-1000,17,890,990
11-30 09:36:25.612,YES,84180323933156,202,34624.0,850,310410,18,-109,-10,STILL,202.0,0,0,-1000,-1000,18,891,990
11-30 09:36:28.111,YES,84182823341530,202,34624.0,850,310410,17,-110,-10,STILL,202.0,0,0,-1000,-1000,17,890,990
11-30 09:36:30.614,YES,84185331697040,202,34624.0,850,310410,18,-109,-10,STILL,202.0,0,0,-1000,-1000,18,891,990
11-30 09:36:33.126,YES,84187840545884,202,34624.0,850,310410,17,-111,-10,STILL,202.0,0,0,-1000,-1000,17,889,990
11-30 09:36:35.618,YES,84190335640716,202,34624.0,850,310410,17,-109,-10,STILL,202.0,0,0,-1000,-1000,17,891,990
11-30 09:36:38.136,YES,84192848160185,202,34624.0,850,310410,16,-111,-10,STILL,202.0,0,0,-1000,-1000,16,889,990
11-30 09:36:40.667,YES,84195379622364,202,34624.0,850,310410,18,-109,-10,STILL,202.0,0,0,-1000,-1000,18,891,990
11-30 09:36:43.172,YES,84197889505427,202,34624.0,850,310410,17,-111,-12,STILL,202.0,0,0,-1000,-1000,17,889,988
11-30 09:36:45.674,YES,84200391164947,202,34624.0,850,310410,17,-110,-10,STILL,202.0,0,0,-1000,-1000,17,890,990
11-30 09:36:48.172,YES,84202876766549,202,34624.0,850,310410,16,-112,-10,STILL,202.0,0,0,-1000,-1000,16,888,990
11-30 09:36:50.672,YES,84205386777111,202,34624.0,850,310410,19,-108,-11,STILL,202.0,0,0,-1000,-1000,19,892,989
11-30 09:36:53.165,YES,84207884322464,202,34624.0,850,310410,17,-113,-13,STILL,202.0,0,0,-1000,-1000,17,887,987
11-30 09:36:55.686,YES,84210403308653,202,34624.0,850,310410,19,-107,-10,STILL,202.0,0,0,-1000,-1000,19,893,990
11-30 09:36:58.208,YES,84212918193747,202,34624.0,850,310410,17,-109,-9,STILL,202.0,0,0,-1000,-1000,17,891,991
11-30 09:37:00.704,YES,84215421236288,202,34624.0,850,310410,21,-108,-16,STILL,202.0,0,0,-1000,-1000,21,892,984
11-30 09:37:03.243,YES,84217958966332,202,34624.0,850,310410,17,-109,-9,STILL,202.0,0,0,-1000,-1000,17,891,991
11-30 09:37:05.718,YES,84220431185537,202,34624.0,850,310410,19,-107,-11,STILL,202.0,0,0,-1000,-1000,19,893,989
11-30 09:37:08.214,YES,84222932770213,202,34624.0,850,310410,17,-110,-10,STILL,202.0,0,0,-1000,-1000,17,890,990
11-30 09:37:10.729,YES,84225444243536,202,34624.0,850,310410,17,-110,-10,STILL,202.0,0,0,-1000,-1000,17,890,990
11-30 09:37:13.249,YES,84227957652485,202,34624.0,850,310410,16,-113,-12,STILL,202.0,0,0,-1000,-1000,16,887,988
11-30 09:37:15.779,YES,84230496587633,202,34624.0,850,310410,18,-108,-10,STILL,202.0,0,0,-1000,-1000,18,892,990
11-30 09:37:18.230,YES,84232943790585,202,34624.0,850,310410,17,-112,-11,STILL,202.0,0,9,-120,-15,8,8,4
11-30 09:37:20.762,YES,84235465939066,202,34624.0,850,310410,18,-109,-9,STILL,202.0,0,10,-121,-17,8,12,8
11-30 09:37:23.240,YES,84237961257752,202,34624.0,850,310410,17,-111,-11,STILL,202.0,0,9,-122,-16,8,11,5
11-30 09:37:25.292,YES,84239982084203,202,34624.0,850,310410,17,-111,-10,STILL,202.0,0,10,-120,-17,7,9,7
11-30 09:37:27.771,YES,84242480342733,202,34624.0,850,310410,17,-109,-10,STILL,202.0,0,10,-118,-15,7,9,5
11-30 09:37:30.280,YES,84244997175588,202,34624.0,850,310410,17,-110,-11,STILL,202.0,0,11,-119,-18,6,9,7
11-30 09:37:32.761,YES,84247071491420,202,34624.0,850,310410,18,-108,-11,STILL,202.0,0,11,-119,-17,7,11,6
11-30 09:37:34.804,YES,84249512932236,202,34624.0,850,310410,17,-111,-10,STILL,202.0,0,11,-123,-20,6,12,10
11-30 09:37:37.306,YES,84252007719568,202,34624.0,850,310410,18,-107,-10,STILL,202.0,0,12,-114,-15,6,7,5
11-30 09:37:39.824,YES,84254528737736,202,34624.0,850,310410,17,-109,-9,STILL,202.0,0,11,-119,-18,6,10,9
11-30 09:37:42.312,YES,84257023244234,202,34624.0,850,310410,19,-108,-10,STILL,202.0,0,14,-113,-18,5,5,8
11-30 09:37:44.831,YES,84259537018183,202,34624.0,850,310410,17,-111,-11,STILL,202.0,0,11,-117,-17,6,6,6
11-30 09:37:47.319,YES,84262037044265,202,34624.0,850,310410,18,-106,-9,STILL,202.0,0,0,-1000,-1000,18,894,991
11-30 09:37:49.831,YES,84264540366650,202,34624.0,850,310410,17,-109,-9,STILL,202.0,0,0,-1000,-1000,17,891,991
