time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,activity,nextAP,handoverOccured,max_ss,max_rsrp,max_rsrq,diff_in_ss,diff_in_rsrp,diff_in_rsrq
11-06 17:05:27.823,YES,963103842398,116,16185,2300,310260,19,-106,-10,UNKNOWN,116.0,0,15,-114,-15,4,8,5
11-06 17:05:29.918,YES,965204574639,116,16185,2300,310260,21,-102,-9,UNKNOWN,116.0,0,14,-113,-14,7,11,5
11-06 17:05:32.381,YES,967695762231,116,16185,2300,310260,22,-106,-12,UNKNOWN,116.0,0,14,-115,-18,8,9,6
11-06 17:05:34.873,YES,970146334089,116,16185,2300,310260,22,-103,-12,UNKNOWN,116.0,0,16,-111,-19,6,8,7
11-06 17:05:36.886,YES,972200049242,116,16185,2300,310260,20,-103,-10,UNKNOWN,116.0,0,15,-113,-18,5,10,8
11-06 17:07:30.059,YES,1083917294746,116,16185,2300,310260,20,-104,-9,UNKNOWN,116.0,0,19,-112,-18,1,8,9
11-06 17:07:31.067,YES,1086150842000,116,16185,2300,310260,19,-104,-8,UNKNOWN,116.0,0,19,-112,-14,0,8,6
11-06 17:07:33.079,YES,1088392008942,116,16185,2300,310260,22,-104,-13,UNKNOWN,116.0,0,19,-112,-18,3,8,5
11-06 17:07:35.575,YES,1090891502732,116,16185,2300,310260,20,-106,-12,UNKNOWN,116.0,0,19,-112,-18,1,6,6
11-06 17:07:38.071,YES,1093148203530,116,16185,2300,310260,20,-105,-11,UNKNOWN,116.0,0,19,-112,-18,1,7,7
11-06 17:07:40.089,YES,1095402066828,116,16185,2300,310260,21,-104,-9,UNKNOWN,116.0,0,19,-112,-18,2,8,9
11-06 17:07:42.592,YES,1097899813743,116,16185,2300,310260,20,-107,-13,UNKNOWN,116.0,0,19,-112,-18,1,5,5
11-06 17:07:45.068,YES,1100148307457,116,16185,2300,310260,20,-105,-10,UNKNOWN,116.0,0,19,-112,-18,1,7,8
