time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,rssnr,cqi,ta
11-20 17:35:34.741,YES,105830549584752,422,34624,850,310410,31,-77,-10,2147483647,2147483647,2147483647
11-20 17:35:34.741,NO,105830549584752,406,2147483647,850,nullnull,25,-88,-10,2147483647,2147483647,2147483647
11-20 17:35:34.741,NO,105830549584752,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:34.741,NO,105830549584752,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:34.741,NO,105830549584752,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:34.741,NO,105830549584752,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:35.243,YES,105830549584752,422,34624,850,310410,31,-77,-10,2147483647,2147483647,2147483647
11-20 17:35:35.243,NO,105830549584752,406,2147483647,850,nullnull,25,-88,-10,2147483647,2147483647,2147483647
11-20 17:35:35.243,NO,105830549584752,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:35.243,NO,105830549584752,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:35.243,NO,105830549584752,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:35.243,NO,105830549584752,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:35.245,YES,105830549584752,422,34624,850,310410,31,-77,-10,2147483647,2147483647,2147483647
11-20 17:35:35.245,NO,105830549584752,406,2147483647,850,nullnull,25,-88,-10,2147483647,2147483647,2147483647
11-20 17:35:35.245,NO,105830549584752,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:35.245,NO,105830549584752,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
11-20 17:35:35.245,NO,105830549584752,470,2147483647,5780,nullnull,31,-73,-12,2147483647,2147483647,2147483647
11-20 17:35:35.245,NO,105830549584752,427,2147483647,5780,nullnull,31,-75,-12,2147483647,2147483647,2147483647}]
11-20 17:35:35.742,YES,105830549584752,422,34624,850,310410,31,-77,-10,2147483647,2147483647,2147483647
11-20 17:35:35.742,NO,105830549584752,406,2147483647,850,nullnull,25,-88,-10,2147483647,2147483647,2147483647
11-20 17:35:35.742,NO,105830549584752,226,2147483647,9820,nullnull,18,-97,-10,2147483647,2147483647,2147483647
11-20 17:35:35.742,NO,105830549584752,47,2147483647,9820,nullnull,18,-104,-18,2147483647,2147483647,2147483647
