time,mRegistered,mTimeStamp,mPci,mTac,mEarfcn,mMcc+mMnc,ss,rsrp,rsrq,activity,nextAP,handoverOccured,max_ss,max_rsrp,max_rsrq,diff_in_ss,diff_in_rsrp,diff_in_rsrq
11-21 09:37:19.074,YES,135739977652930,406,34624,850,310410,25,-97,-12,UNKNOWN,406.0,0,19,-107,-10,6,10,-2
11-21 09:37:20.592,YES,135741992031673,406,34624,850,310410,29,-93,-16,UNKNOWN,406.0,0,19,-105,-10,10,12,-6
11-21 09:37:23.078,YES,135744228421010,406,34624,850,310410,30,-90,-15,UNKNOWN,406.0,0,23,-95,-10,7,5,-5
11-21 09:37:25.081,YES,135746322018927,406,34624,850,310410,30,-87,-14,UNKNOWN,406.0,0,24,-96,-10,6,9,-4
11-21 09:37:27.100,YES,135748500044404,406,34624,850,310410,31,-82,-13,UNKNOWN,406.0,0,25,-92,-10,6,10,-3
11-21 09:37:29.110,YES,135750510350698,406,34624,850,310410,31,-83,-11,UNKNOWN,406.0,0,23,-97,-10,8,14,-1
11-21 09:37:31.613,YES,135753012064541,406,34624,850,310410,31,-85,-11,UNKNOWN,406.0,0,21,-104,-10,10,19,-1
11-21 09:37:33.628,YES,135755026803232,406,34624,850,310410,31,-84,-15,UNKNOWN,406.0,0,26,-91,-10,5,7,-5
11-21 09:37:36.113,YES,135757222313034,406,34624,850,310410,29,-88,-13,UNKNOWN,406.0,0,22,-98,-10,7,10,-3
11-21 09:37:38.123,YES,135759523259253,406,34624,850,310410,28,-91,-13,UNKNOWN,406.0,0,20,-107,-10,8,16,-3
11-21 09:37:40.136,YES,135761533701067,406,34624,850,310410,28,-89,-10,UNKNOWN,406.0,0,21,-100,-10,7,11,0
11-21 09:37:42.631,YES,135764031308400,406,34624,850,310410,31,-76,-8,UNKNOWN,406.0,0,26,-88,-10,5,12,2
11-21 09:37:44.656,YES,135766056180424,406,34624,850,310410,31,-82,-13,UNKNOWN,406.0,0,27,-90,-10,4,8,-3
11-21 09:37:47.125,YES,135768230303766,406,34624,850,310410,29,-85,-9,UNKNOWN,406.0,0,23,-92,-10,6,7,1
11-21 09:37:49.144,YES,135770539609933,406,34624,850,310410,30,-86,-12,UNKNOWN,406.0,0,22,-95,-10,8,9,-2
11-21 09:37:51.643,YES,135773041411380,406,34624,850,310410,31,-96,-20,UNKNOWN,322.0,1,31,0,0,0,-96,-20
11-21 09:37:53.659,YES,135775057627936,322,34624,850,310410,31,-85,-14,UNKNOWN,322.0,0,26,-84,-12,5,-1,-2
11-21 09:37:55.738,YES,135777130099079,322,34624,850,310410,31,-80,-13,UNKNOWN,322.0,0,27,-84,-12,4,4,-1
11-21 09:37:58.147,YES,135779233317987,322,34624,850,310410,29,-89,-14,UNKNOWN,322.0,0,26,-84,-12,3,-5,-2
11-21 09:38:00.163,YES,135781560808115,322,34624,850,310410,29,-89,-13,UNKNOWN,322.0,0,26,-84,-12,3,-5,-1
11-21 09:38:02.205,YES,135783605170506,322,34624,850,310410,28,-90,-13,UNKNOWN,322.0,0,26,-84,-12,2,-6,-1
11-21 09:38:04.662,YES,135786061766011,322,34624,850,310410,30,-87,-14,UNKNOWN,322.0,0,26,-84,-12,4,-3,-2
11-21 09:38:06.702,YES,135788088569754,322,34624,850,310410,28,-92,-15,UNKNOWN,322.0,0,26,-84,-12,2,-8,-3
11-21 09:38:08.709,YES,135790109037716,322,34624,850,310410,28,-92,-14,UNKNOWN,322.0,0,26,-84,-12,2,-8,-2
11-21 09:38:10.749,YES,135792145367971,322,34624,850,310410,28,-92,-14,UNKNOWN,322.0,0,26,-84,-12,2,-8,-2
11-21 09:38:13.179,YES,135794272879589,322,34624,850,310410,27,-94,-14,UNKNOWN,322.0,0,26,-84,-12,1,-10,-2
11-21 09:38:15.215,YES,135796599146644,322,34624,850,310410,28,-91,-10,UNKNOWN,322.0,0,26,-84,-12,2,-7,2
11-21 09:38:17.263,YES,135798654611588,322,34624,850,310410,29,-90,-14,UNKNOWN,322.0,0,26,-84,-12,3,-6,-2
11-21 09:38:19.711,YES,135801098996623,322,34624,850,310410,29,-90,-14,UNKNOWN,322.0,0,26,-84,-12,3,-6,-2
11-21 09:38:21.745,YES,135803131581513,322,34624,850,310410,27,-93,-13,UNKNOWN,322.0,0,26,-84,-12,1,-9,-1
11-21 09:38:24.183,YES,135805272656362,322,34624,850,310410,28,-92,-14,UNKNOWN,322.0,0,26,-84,-12,2,-8,-2
11-21 09:38:26.184,YES,135807583475134,322,34624,850,310410,29,-91,-15,UNKNOWN,322.0,0,26,-84,-12,3,-7,-3
11-21 09:38:28.197,YES,135809596260230,322,34624,850,310410,27,-93,-14,UNKNOWN,322.0,0,26,-84,-12,1,-9,-2
11-21 09:38:30.210,YES,135811608485014,322,34624,850,310410,29,-90,-13,UNKNOWN,322.0,0,26,-84,-12,3,-6,-1
11-21 09:38:32.678,YES,135813654585583,322,34624,850,310410,28,-91,-13,UNKNOWN,322.0,0,26,-84,-12,2,-7,-1
11-21 09:38:34.693,YES,135816091779575,322,34624,850,310410,28,-92,-14,UNKNOWN,322.0,0,26,-84,-12,2,-8,-2
11-21 09:38:37.024,YES,135818387791002,322,34624,850,310410,28,-92,-14,UNKNOWN,322.0,0,26,-84,-12,2,-8,-2
11-21 09:38:43.664,YES,135820561663875,322,34624,850,310410,30,-88,-14,UNKNOWN,322.0,0,26,-84,-12,4,-4,-2
11-21 09:38:55.572,YES,135821265879570,322,34624,850,310410,31,-87,-15,UNKNOWN,322.0,0,26,-84,-12,5,-3,-3
11-21 09:39:01.651,YES,135821769748058,322,34624,850,310410,31,-81,-12,UNKNOWN,322.0,0,28,-84,-12,3,3,0
11-21 09:39:07.287,YES,135822089307985,322,34624,850,310410,31,-82,-14,UNKNOWN,322.0,0,26,-84,-12,5,2,-2
11-21 09:39:09.290,YES,135824263346535,322,34624,850,310410,31,-81,-13,UNKNOWN,322.0,0,26,-84,-12,5,3,-1
11-21 09:39:11.301,YES,135826272590694,322,34624,850,310410,31,-82,-14,UNKNOWN,322.0,0,28,-84,-12,3,2,-2
11-21 09:39:13.359,YES,135828331122670,322,34624,850,310410,31,-81,-13,UNKNOWN,322.0,0,27,-84,-12,4,3,-1
11-21 09:39:15.837,YES,135830796754582,322,34624,850,310410,31,-80,-13,UNKNOWN,322.0,0,27,-84,-12,4,4,-1
11-21 09:39:17.936,YES,135832896834322,322,34624,850,310410,31,-79,-14,UNKNOWN,322.0,0,26,-84,-12,5,5,-2
11-21 09:39:22.145,YES,135833757320710,322,34624,850,310410,31,-83,-14,UNKNOWN,322.0,0,26,-84,-12,5,1,-2
11-21 09:39:24.449,YES,135835465058016,322,34624,850,310410,31,-83,-13,WALKING,322.0,0,26,-84,-12,5,1,-1
11-21 09:39:26.546,YES,135836965760561,322,34624,850,310410,31,-83,-14,WALKING,322.0,0,26,-84,-12,5,1,-2
11-21 09:39:28.583,YES,135839009561910,322,34624,850,310410,31,-85,-14,WALKING,322.0,0,26,-84,-12,5,-1,-2
11-21 09:39:33.657,YES,135839432732578,322,34624,850,310410,31,-79,-13,WALKING,322.0,0,26,-84,-12,5,5,-1
11-21 09:39:38.804,YES,135839849885796,322,34624,850,310410,31,-75,-15,WALKING,322.0,0,26,-84,-12,5,9,-3
11-21 09:39:44.633,YES,135840430296479,322,34624,850,310410,31,-82,-14,WALKING,322.0,0,26,-84,-12,5,2,-2
11-21 09:39:55.063,YES,135841123820194,322,34624,850,310410,30,-88,-14,WALKING,322.0,0,26,-84,-12,4,-4,-2
11-21 09:40:01.589,YES,135841743390933,322,34624,850,310410,28,-95,-17,UNKNOWN,466.0,1,26,-84,-12,2,-11,-5
11-21 09:40:13.581,YES,135842400684748,466,34624,9820,310410,21,-106,-18,UNKNOWN,88.0,1,21,-93,-12,0,-13,-6
11-21 09:40:15.655,YES,135844473707819,88,34624,850,310410,27,-91,-11,UNKNOWN,88.0,0,22,-103,-17,5,12,6
11-21 09:40:19.637,YES,135845197972058,88,34624,850,310410,27,-91,-11,UNKNOWN,88.0,0,22,-100,-17,5,9,6
11-21 09:40:25.712,YES,135845549800687,88,34624,850,310410,27,-92,-12,UNKNOWN,88.0,0,22,-100,-17,5,8,5
