mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
50854232817899,432,16185,2300,310260,31,-83,-16,2147483647,2147483647,2147483647
50855268782950,432,16185,2300,310260,31,-84,-16,2147483647,2147483647,2147483647
50856502812292,432,16185,2300,310260,31,-86,-19,2147483647,2147483647,2147483647
50858814361533,432,16185,2300,310260,31,-87,-18,2147483647,2147483647,2147483647
50861253516880,328,16185,2300,310260,31,-78,-14,2147483647,2147483647,2147483647
50862261863907,328,16185,2300,310260,31,-69,-10,2147483647,2147483647,2147483647
50862904746367,328,16185,2300,310260,31,-84,-19,2147483647,2147483647,2147483647
50863257888538,328,16185,2300,310260,31,-81,-12,2147483647,2147483647,2147483647
50864510916527,328,16185,2300,310260,31,-78,-11,2147483647,2147483647,2147483647
50865225736807,328,16185,2300,310260,31,-86,-17,2147483647,2147483647,2147483647
50865240972589,328,16185,2300,310260,31,-86,-17,2147483647,2147483647,2147483647
50866422791874,328,16185,2300,310260,31,-88,-15,2147483647,2147483647,2147483647
50866762079303,328,16185,2300,310260,31,-89,-20,2147483647,2147483647,2147483647
50868917024310,328,16185,2300,310260,30,-92,-17,2147483647,2147483647,2147483647
50870097350365,434,16185,2300,310260,31,-86,-12,2147483647,2147483647,2147483647
50870484173528,434,16185,2300,310260,31,-79,-10,2147483647,2147483647,2147483647
50871202131152,434,16185,2300,310260,31,-78,-12,2147483647,2147483647,2147483647
50873409759393,434,16185,2300,310260,31,-78,-16,2147483647,2147483647,2147483647
50875591528360,434,16185,2300,310260,31,-77,-9,2147483647,2147483647,2147483647
50877724786437,434,16185,2300,310260,31,-77,-14,2147483647,2147483647,2147483647
50879540061566,434,16185,2300,310260,31,-74,-9,2147483647,2147483647,2147483647
50881566948539,434,16185,2300,310260,31,-73,-8,2147483647,2147483647,2147483647
50883790880635,434,16185,2300,310260,31,-74,-13,2147483647,2147483647,2147483647
50886287133124,434,16185,2300,310260,31,-71,-10,2147483647,2147483647,2147483647
50888310709471,434,16185,2300,310260,31,-72,-12,2147483647,2147483647,2147483647
50890628022618,434,16185,2300,310260,31,-70,-8,2147483647,2147483647,2147483647
50892792694449,434,16185,2300,310260,31,-70,-13,2147483647,2147483647,2147483647
50895295688396,434,16185,2300,310260,31,-75,-14,2147483647,2147483647,2147483647
50896801852921,434,16185,2300,310260,31,-78,-10,2147483647,2147483647,2147483647
50897154526342,434,16185,2300,310260,31,-77,-9,2147483647,2147483647,2147483647
50898270134578,434,16185,2300,310260,31,-78,-12,2147483647,2147483647,2147483647
50900332231814,434,16185,2300,310260,31,-78,-14,2147483647,2147483647,2147483647
50902844868888,434,16185,2300,310260,31,-77,-14,2147483647,2147483647,2147483647
50905062655306,434,16185,2300,310260,31,-76,-12,2147483647,2147483647,2147483647
50907353600795,434,16185,2300,310260,31,-78,-15,2147483647,2147483647,2147483647
50909864490576,434,16185,2300,310260,31,-77,-15,2147483647,2147483647,2147483647
50912374732077,434,16185,2300,310260,31,-76,-15,2147483647,2147483647,2147483647
50914889748473,434,16185,2300,310260,31,-77,-13,2147483647,2147483647,2147483647
50917007776705,434,16185,2300,310260,31,-78,-14,2147483647,2147483647,2147483647
50917437855393,434,16185,2300,310260,31,-78,-14,2147483647,2147483647,2147483647
50919527009820,434,16185,2300,310260,31,-77,-14,2147483647,2147483647,2147483647
50921769485460,434,16185,2300,310260,31,-79,-10,2147483647,2147483647,2147483647
50923724040863,434,16185,2300,310260,31,-78,-14,2147483647,2147483647,2147483647
50924173283773,434,16185,2300,310260,31,-78,-9,2147483647,2147483647,2147483647
50925113860637,434,16185,2300,310260,31,-77,-15,2147483647,2147483647,2147483647
50926671065897,434,16185,2300,310260,31,-80,-13,2147483647,2147483647,2147483647
50927309311533,434,16185,2300,310260,31,-79,-14,2147483647,2147483647,2147483647
50927711797198,434,16185,2300,310260,31,-79,-14,2147483647,2147483647,2147483647
50928068117859,434,16185,2300,310260,31,-80,-14,2147483647,2147483647,2147483647
50930350641263,434,16185,2300,310260,31,-78,-14,2147483647,2147483647,2147483647
50932292220259,434,16185,2300,310260,31,-78,-14,2147483647,2147483647,2147483647
50932308139219,434,16185,2300,310260,31,-78,-14,2147483647,2147483647,2147483647
50934401426146,434,16185,2300,310260,31,-77,-15,2147483647,2147483647,2147483647
50936848817171,434,16185,2300,310260,31,-77,-15,2147483647,2147483647,2147483647
50939476700974,434,16185,2300,310260,31,-75,-14,2147483647,2147483647,2147483647
50940108041975,434,16185,2300,310260,31,-79,-14,2147483647,2147483647,2147483647
50940740976621,434,16185,2300,310260,31,-72,-15,2147483647,2147483647,2147483647
50941392441530,434,16185,2300,310260,31,-74,-14,2147483647,2147483647,2147483647
50941799989279,434,16185,2300,310260,31,-73,-15,2147483647,2147483647,2147483647
50942598856546,434,16185,2300,310260,31,-76,-14,2147483647,2147483647,2147483647
50942608504828,434,16185,2300,310260,31,-76,-14,2147483647,2147483647,2147483647
50944332227239,434,16185,2300,310260,31,-76,-11,2147483647,2147483647,2147483647
50946438783387,434,16185,2300,310260,31,-75,-14,2147483647,2147483647,2147483647
50948924895822,434,16185,2300,310260,31,-80,-12,2147483647,2147483647,2147483647
50951426974144,434,16185,2300,310260,31,-75,-10,2147483647,2147483647,2147483647
50952525875399,434,16185,2300,310260,31,-75,-14,2147483647,2147483647,2147483647
50955032503461,434,16185,2300,310260,31,-75,-10,2147483647,2147483647,2147483647
50957145944141,434,16185,2300,310260,31,-74,-10,2147483647,2147483647,2147483647
50959214728670,434,16185,2300,310260,31,-73,-10,2147483647,2147483647,2147483647
50961345407007,434,16185,2300,310260,31,-73,-13,2147483647,2147483647,2147483647
50963861447258,434,16185,2300,310260,31,-70,-14,2147483647,2147483647,2147483647
50966403527459,434,16185,2300,310260,31,-73,-15,2147483647,2147483647,2147483647
50966772030204,434,16185,2300,310260,31,-75,-13,2147483647,2147483647,2147483647
50969274750349,434,16185,2300,310260,31,-75,-11,2147483647,2147483647,2147483647
50970062320011,434,16185,2300,310260,31,-81,-16,2147483647,2147483647,2147483647
50970363095093,434,16185,2300,310260,31,-79,-15,2147483647,2147483647,2147483647
50970783795916,434,16185,2300,310260,31,-77,-15,2147483647,2147483647,2147483647
50971452120931,434,16185,2300,310260,31,-81,-11,2147483647,2147483647,2147483647
50971962784575,434,16185,2300,310260,31,-77,-14,2147483647,2147483647,2147483647
50972016106924,434,16185,2300,310260,31,-77,-14,2147483647,2147483647,2147483647
50974456361438,434,16185,2300,310260,31,-73,-10,2147483647,2147483647,2147483647
50975679604581,434,16185,2300,310260,31,-65,-14,2147483647,2147483647,2147483647
50977797122813,434,16185,2300,310260,31,-70,-9,2147483647,2147483647,2147483647
50980454086723,434,16185,2300,310260,31,-74,-13,2147483647,2147483647,2147483647
50981121180800,434,16185,2300,310260,31,-71,-13,2147483647,2147483647,2147483647
50981816833474,434,16185,2300,310260,31,-69,-13,2147483647,2147483647,2147483647
50982466566142,434,16185,2300,310260,31,-74,-12,2147483647,2147483647,2147483647
50983148500690,434,16185,2300,310260,31,-73,-14,2147483647,2147483647,2147483647
50983164002149,434,16185,2300,310260,31,-73,-14,2147483647,2147483647,2147483647
50985657723023,434,16185,2300,310260,31,-73,-12,2147483647,2147483647,2147483647
50986808658398,434,16185,2300,310260,31,-68,-8,2147483647,2147483647,2147483647
50988901436836,434,16185,2300,310260,31,-66,-14,2147483647,2147483647,2147483647
50989874165057,434,16185,2300,310260,31,-65,-14,2147483647,2147483647,2147483647
50990571300700,434,16185,2300,310260,31,-65,-9,2147483647,2147483647,2147483647
50990927485839,434,16185,2300,310260,31,-74,-9,2147483647,2147483647,2147483647
50991668529507,434,16185,2300,310260,31,-73,-15,2147483647,2147483647,2147483647
50992039010794,434,16185,2300,310260,31,-75,-11,2147483647,2147483647,2147483647
50992775961232,434,16185,2300,310260,31,-75,-10,2147483647,2147483647,2147483647
